	log2fc	p-adj
ribitol	0.8574628790000001	7.65115e-09
tocopherol alpha	1.136906245	4.82214e-06
arabitol	0.497203995	4.3315699999999996e-05
tagatose	-0.421681013	0.000117947
N-acetyl-D-mannosamine	0.46863083299999997	0.000183534
dodecanol	-0.354274066	0.000271477
caprylic acid	-0.360573208	0.00033643
fucose-rhamnose	1.0834759840000001	0.000752443
allantoic acid	-0.664780978	0.000878199
trans-4-hydroxyproline	0.305911257	0.001126476
aminomalonic acid	0.329336564	0.0013663520000000001
biuret	-0.697971463	0.0014434510000000001
erythronic acid lactone	-0.556876905	0.001613925
erythronic acid	0.314420281	0.002795622
cytidine-5-monophosphate NIST	0.7690344590000001	0.0030018379999999997
arabinose	0.254745248	0.003086555
2-hydroxyglutaric acid	0.679551668	0.003363723
gluconic acid	-0.9914905490000001	0.003750501
taurine	0.388917561	0.003907708
pelargonic acid	-0.272110615	0.005920376
pentadecanoic acid	-0.276059154	0.0074865669999999995
fucose	0.534858519	0.01128446
capric acid	-0.23737011800000002	0.011714321000000001
glycerol-beta-phosphate	0.243143072	0.013247486999999999
4-hydroxybutyric acid	0.37402911	0.013627837
triethanolamine	-0.41677170799999996	0.016322219
mannitol	-0.453376646	0.018689217
isothreonic acid	0.30555767100000003	0.02014056
hydroxylamine	-0.315355034	0.022343576
methionine sulfoxide	-0.841770145	0.024643156
acetophenone NIST	-0.41888465799999997	0.025601646000000002
2-phenylpropanol NIST	-0.27239264	0.026710246
1-monostearin	-0.22617447100000002	0.028190958999999998
inositol-4-monophosphate	-0.419143754	0.029044532
238267 trisaccharide	0.601411342	0.03931121
1,5-anhydroglucitol	-0.33834424799999996	0.040022875
glycerol-3-galactoside	1.089042751	0.04131462
benzoic acid	-0.17779726699999998	0.042837564
threonic acid	0.270722764	0.045432899000000006
octadecane-1,12-diol NIST	-0.192029528	0.054898268
azelaic acid	-0.295670818	0.059058275
N-methylalanine	0.20839387399999998	0.062792075
adipic acid	-0.327964345	0.073973389
shikimic acid	0.230208529	0.075351591
lauric acid	-0.20817819199999998	0.079279578
homoserine	0.159452671	0.087592179
inositol allo-	-0.28849907199999997	0.10520567800000001
3-phenyllactic acid	0.541229259	0.12534205199999998
phenylethylamine	-0.29893271899999996	0.145907181
myristic acid	-0.126354716	0.152408467
methanolphosphate	0.189991771	0.1592688
1-monopalmitin	0.15622514199999998	0.161169378
indole-3-lactate	0.19253182	0.170232153
arachidic acid	-1.812035424	0.18404077800000002
octadecanol	-1.049022285	0.19386447399999998
sucrose	-0.448700225	0.209459129
cysteine-glycine	-0.209360155	0.211915674
orotic acid	0.249763903	0.224036315
galactose-6-phosphate	-0.163492098	0.237908294
isoheptadecanoic acid	-0.100644334	0.261276097
3-aminoisobutyric acid	-0.17959617100000003	0.26878805699999997
gamma-tocopherol	0.221425414	0.274201373
5-aminovaleric acid	0.685248295	0.286770074
2-monopalmitin	-0.23889284	0.30477830899999997
threitol	-0.107031561	0.317372193
hydroxycarbamate NIST	-0.090628653	0.323823535
pantothenic acid	-0.129979077	0.36605728600000004
levoglucosan	-0.16877771	0.36948541
glycerol-alpha-phosphate	0.228439153	0.37885545
behenic acid	-0.106513606	0.38230308
phenylpyruvic acid	0.072128051	0.39995113200000004
xanthosine	0.120409437	0.411862051
linoleic acid	0.120613475	0.430583649
2-hydroxybutanoic acid	-0.10910693199999999	0.44749646299999996
salicylaldehyde	-0.09583416	0.45371809
quinic acid	-0.362192381	0.45776905100000004
dodecane	-0.090948178	0.466463577
2-aminoadipic acid	0.22551539899999998	0.48312887600000004
2-monoolein	0.08919345199999999	0.494286495
ethanol phosphate NIST	0.10671816199999999	0.515107093
dihydroabietic acid	0.12049996699999999	0.527736334
beta-alanine	-0.081472043	0.5357694120000001
stigmasterol	-0.065649679	0.5399491829999999
erythritol	-0.054408773	0.543898423
trehalose	0.189363463	0.55251835
5-methoxytryptamine	0.09830090699999999	0.594978747
maleimide	0.064924663	0.608338587
5-hydroxynorvaline NIST	0.04363241599999999	0.61497164
cellobiotol	0.14848123400000002	0.6215931
maltose	0.139330386	0.6438136
glucuronic acid	-0.04454643900000001	0.6724889740000001
3-hydroxybutanoic acid	-0.12265004199999999	0.679065143
fructose 1 phosphate	-0.03126975	0.7787140779999999
icosenoic acid	-0.042541432000000004	0.784226267
inositol myo-	0.023029596	0.803432611
conduritol beta epoxide	0.036994545	0.8511325059999999
oxalic acid	-0.017655617	0.876422832
digalacturonic acid	0.020673211	0.9073465279999999
maltotriose	0.0072009859999999995	0.981451698
ribonic acid	-0.001960394	0.994850173
