	log2fc	p_adj
ribitol	0.857462879	6.88525E-09
ornithine	-0.84810783	4.18579E-08
glucose	-1.093726866	1.5918E-07
UDP GlcNAc	1.176163198	2.71038E-07
tocopherol alpha	1.136906245	3.6612E-07
"5,6-dihydrouracil"	1.09017364	8.45902E-07
cysteine	0.676315159	1.15519E-06
glutamic acid	0.47031405	1.98907E-06
xanthine	1.347217801	1.52082E-05
arabitol	0.497203995	2.20583E-05
spermidine	-0.55962869	3.74272E-05
citrulline	-0.571123868	5.81796E-05
adenosine-5-phosphate	1.310849716	7.7499E-05
histidine	-0.630702184	8.37912E-05
N-acetyl-D-mannosamine	0.468630833	0.000103917
Inosine 5’-monophosphate	1.785125709	0.000114534
lysine	-1.374980178	0.000124525
glyceric acid	0.500730719	0.000191277
xylitol	0.519232882	0.000224156
adenine	0.541532966	0.000319429
nicotinamide	0.477855672	0.000425547
allantoic acid	-0.664780978	0.000449632
3-phosphoglycerate	-1.085793749	0.000474237
fucose-rhamnose	1.083475984	0.000534747
biuret	-0.697971463	0.00066897
caprylic acid	-0.360573208	0.000735399
erythronic acid	0.314420281	0.000789394
alanine	0.294946874	0.000936257
5’-deoxy-5’-methylthioadenosine	0.840279807	0.001049625
dodecanol	-0.354274066	0.001114591
citric acid	-0.636298204	0.001195544
tagatose	-0.421681013	0.001274953
glycerol	0.305653692	0.001389344
trans-4-hydroxyproline	0.305911257	0.001568056
dihydrosphingosine	-0.597481192	0.001736178
taurine	0.388917561	0.001797981
aminomalonic acid	0.329336564	0.00200325
uric acid	0.49603624	0.002259276
arabinose	0.254745248	0.002515227
gluconic acid	-0.991490549	0.002618894
2-hydroxyglutaric acid	0.679551668	0.002735209
proline	0.439027613	0.002911212
erythronic acid lactone	-0.556876905	0.003010353
oxoproline	0.212251017	0.003096481
uracil	0.540644717	0.003355002
malic acid	0.390367866	0.003852063
arachidonic acid	0.590467272	0.004213728
pentadecanoic acid	-0.276059154	0.004370523
phosphoethanolamine	0.529420778	0.004478048
cytidine-5-monophosphate NIST	0.769034459	0.004829189
uridine	-0.522203945	0.006123169
fucose	0.534858519	0.007455704
4-hydroxybutyric acid	0.37402911	0.007861833
triethanolamine	-0.416771708	0.008656088
isoleucine	0.243870183	0.011712916
glycine	0.152524171	0.012260873
isothreonic acid	0.305557671	0.013914281
capric acid	-0.237370118	0.017532124
glycerol-beta-phosphate	0.243143072	0.018874817
methionine sulfoxide	-0.841770145	0.01927343
pelargonic acid	-0.272110615	0.019715403
asparagine	0.231201015	0.020437418
1-monostearin	-0.226174471	0.021754014
mannitol	-0.453376646	0.02337032
creatinine	0.457780741	0.025894093
hydroxylamine	-0.315355034	0.02847835
FAD	0.242577147	0.029653793
glycocyamine	0.22745698	0.033331405
pipecolic acid	0.160682406	0.034863489
"1,5-anhydroglucitol"	-0.338344248	0.035665668
238267 trisaccharide	0.601411342	0.036445806
acetophenone NIST	-0.418884658	0.038342358
inositol-4-monophosphate	-0.419143754	0.039023827
succinic acid	0.43302502	0.041478609
phosphoric acid	0.21577	0.043405205
N-methylalanine	0.208393874	0.047922673
threonic acid	0.270722764	0.050826102
2-phenylpropanol NIST	-0.27239264	0.051521238
palmitic acid	-0.207256382	0.052329372
stearic acid	-0.277838822	0.053937912
glycerol-3-galactoside	1.089042751	0.055570184
threonine	0.132890555	0.056266809
benzoic acid	-0.177797267	0.058102029
thymine	0.20656932	0.059334684
adipic acid	-0.327964345	0.063386855
"octadecane-1,12-diol NIST"	-0.192029528	0.065729204
lauric acid	-0.208178192	0.067343905
azelaic acid	-0.295670818	0.080163918
phenylalanine	0.190696526	0.091151998
ethanolamine	0.25067071	0.092502218
homoserine	0.159452671	0.097987194
tryptophan	-0.336943839	0.099669837
inositol allo-	-0.288499072	0.102138453
shikimic acid	0.230208529	0.10543598
sorbitol	-1.013775504	0.10951197
4-hydroxyproline	0.810800109	0.112824785
kynurenine	-0.349060539	0.114320058
hypoxanthine	0.170246109	0.121252739
3-phenyllactic acid	0.541229259	0.124743422
myristic acid	-0.126354716	0.130621657
leucine	0.184717538	0.132543547
indole-3-lactate	0.19253182	0.135487409
1-monopalmitin	0.156225142	0.138554623
methionine	0.191338859	0.143271277
mannose	-0.266642053	0.145888875
fructose-6-phosphate	-0.311709863	0.148837998
UDP-glucuronic acid	0.170333101	0.158426166
phenylethylamine	-0.298932719	0.160783472
2-ketoisocaproic acid	-0.21543181	0.165611421
arachidic acid	-1.812035424	0.178975235
cysteine-glycine	-0.209360155	0.183012992
cystine	-0.240817155	0.188219076
glutamine	-0.198369384	0.197930373
octadecanol	-1.049022285	0.211709533
methanolphosphate	0.189991771	0.216383544
orotic acid	0.249763903	0.219602167
glucose-6-phosphate	-0.227126041	0.227049469
sucrose	-0.448700225	0.237111162
tyrosine	0.117537347	0.240325335
gamma-tocopherol	0.221425414	0.244055059
3-aminoisobutyric acid	-0.179596171	0.2602527
isoheptadecanoic acid	-0.100644334	0.262870254
galactose-6-phosphate	-0.163492098	0.270237294
5-aminovaleric acid	0.685248295	0.282088989
threitol	-0.107031561	0.302145283
putrescine	0.184698885	0.304643269
2-monopalmitin	-0.23889284	0.313822939
ascorbic acid	0.643063458	0.323439329
hydroxycarbamate NIST	-0.090628653	0.328514717
glycerol-alpha-phosphate	0.228439153	0.343092682
uridine-5’-monophosphate	0.171677212	0.349718815
pseudo uridine	-0.07654489	0.353445116
pantothenic acid	-0.129979077	0.356384026
levoglucosan	-0.16877771	0.367232643
fumaric acid	0.09684086	0.370078016
oleic acid	-0.096633237	0.374091637
cholesterol	-0.084534355	0.377428823
linoleic acid	0.120613475	0.384517139
phenylpyruvic acid	0.072128051	0.38960179
adenosine	0.246673065	0.392579869
xanthosine	0.120409437	0.407431527
behenic acid	-0.106513606	0.414418146
2-hydroxybutanoic acid	-0.109106932	0.424963043
quinic acid	-0.362192381	0.443053522
guanine	-0.094394699	0.453060864
2-monoolein	0.089193452	0.465467337
dodecane	-0.090948178	0.473529685
salicylaldehyde	-0.09583416	0.477233587
2-aminoadipic acid	0.225515399	0.489227375
beta-alanine	-0.081472043	0.50128978
trehalose	0.189363463	0.525861078
dihydroabietic acid	0.120499967	0.535152693
ethanol phosphate NIST	0.106718162	0.541316892
stigmasterol	-0.065649679	0.568190907
erythritol	-0.054408773	0.577305952
5-methoxytryptamine	0.098300907	0.587574623
urea	0.052125115	0.593893128
cellobiotol	0.148481234	0.603365494
maleimide	0.064924663	0.613822796
maltose	0.139330386	0.626318973
5-hydroxynorvaline NIST	0.043632416	0.639447423
3-hydroxybutanoic acid	-0.122650042	0.644093595
1-hexadecanol	-0.054971749	0.661669893
guanosine	-0.048105277	0.688467637
glucuronic acid	-0.044546439	0.695261723
serine	-0.030029659	0.707071654
pyrophosphate	-0.041297457	0.739851947
fructose 1 phosphate	-0.03126975	0.77139225
valine	0.01939655	0.777266908
icosenoic acid	-0.042541432	0.78767992
inositol myo-	0.023029596	0.805111772
conduritol beta epoxide	0.036994545	0.830130766
ribose	-0.034321029	0.835599538
inosine	0.024216747	0.84796764
fructose	0.045623934	0.864061996
oxalic acid	-0.017655617	0.880461118
digalacturonic acid	0.020673211	0.904270869
alpha ketoglutaric acid	-0.016819815	0.912403197
Cytidine-5’-diphosphate	0.01012597	0.944206328
aspartic acid	-0.004127796	0.961140665
glycolic acid	-0.002013729	0.97547727
maltotriose	0.007200986	0.981040702
ribonic acid	-0.001960394	0.994614147
