	log2fc	p
1-monopalmitin	0.15622514199999998	0.246169865
1-monostearin	-0.22617447100000002	0.06319023
238267 trisaccharide	0.601411342	0.093937781
2-ketoisocaproic acid	-0.21543181	0.278044862
2-phenylpropanol NIST	-0.27239264	0.12087675099999999
5’-deoxy-5’-methylthioadenosine	0.840279807	0.006623497
5-hydroxynorvaline NIST	0.04363241599999999	0.726825332
acetophenone NIST	-0.41888465799999997	0.097453493
adenosine-5-phosphate	1.3108497159999999	0.0010909469999999999
cellobiotol	0.14848123400000002	0.698834718
conduritol beta epoxide	0.036994545	0.8832205240000001
cysteine-glycine	-0.209360155	0.301724122
Cytidine-5’-diphosphate	0.01012597	0.965305911
cytidine-5-monophosphate NIST	0.7690344590000001	0.017674831000000002
dihydroabietic acid	0.12049996699999999	0.644295676
erythronic acid lactone	-0.556876905	0.012811501999999999
ethanol phosphate NIST	0.10671816199999999	0.647457459
fucose-rhamnose	1.0834759840000001	0.0040774470000000005
glycerol-3-galactoside	1.089042751	0.125547453
glycerol-beta-phosphate	0.243143072	0.058543925
hydroxycarbamate NIST	-0.090628653	0.466032505
icosenoic acid	-0.042541432000000004	0.847914267
Inosine 5’-monophosphate	1.7851257090000001	0.0013099869999999999
inositol-4-monophosphate	-0.419143754	0.097826855
inositol allo-	-0.28849907199999997	0.200982117
inositol myo-	0.023029596	0.8616108440000001
isoheptadecanoic acid	-0.100644334	0.394305381
isothreonic acid	0.30555767100000003	0.044672165
methanolphosphate	0.189991771	0.344332074
octadecane-1,12-diol NIST	-0.192029528	0.139865631
tocopherol alpha	1.136906245	1.3446199999999998e-05
UDP-glucuronic acid	0.17033310100000001	0.27095316199999997
uridine-5’-monophosphate	0.171677212	0.488538497
