 	mecr_fc	mecr_bh	
DEOXYGUANOSINE	0.13499521531010875	0.372298276872709	
NICOTINAMIDE MONONUCLEOTIDE	1.4759843388160168	0.2557667304161446	
Glyceraldehyde 3-phosphate	-0.14040520888245522	0.4047262013661377	
THYMIDINE-MONOPHOSPHATE	0.10012241322180482	0.6060015536302575	
Azelaic acid	0.21733919361016268	0.06613038596438284	
AICAR	0.617022231743685	0.3376829053039618	
ETHANOLAMINE PHOSPHATE	-0.9081731812975767	0.00302904342115079	
O-PHOSPHOETHANOLAMINE	-0.9064653354607408	0.00321871109903555	
DEOXYCYTIDINE-DIPHOSPHATE	0.3321964303411897	0.08734637603380034	
ERYTHROSE-4-PHOSPHATE	-0.1456774551956351	0.6003239983868621	
DIHYDROXYACETONEPHOSPHATE	-0.13186544787397397	0.41823000736348187	
DEOXYCYTIDINE MONOPHOSPHATE-1	0.24993690497111815	0.052872129297570576	
GLUCOSAMINE 6-PHOSPHATE	-0.7039253324021986	0.013698364235884527	
PHOSPHOSERINE	-1.333358675663767	0.0022914130943635655	
6-Phosphonoglucono-D-lactone	0.38043558339526573	0.040525610987447745	
SEDOHEPTULOSE-7-PHOSPHATE	0.3137192816118295	0.2660158066523566	
6-PHOSPHOGLUCONATE	0.046716498907030564	0.8863686672167018	
Fructose 1,6-bisphosphate	0.8606844244637311	0.028148458336638305	
HYPOTAURINE	0.05004068249959563	0.8603920670921466	
D-RIBOSE 5-PHOSPHATE	0.34143440923884594	0.05005976487562128	
Ribose-5-phosphate	0.29463360077898143	0.06292807343901961	
Xylulose-5-phosphate	0.29203180763431874	0.06458799523714248	
RIBULOSE-5-PHOSPHATE	0.2973275833876716	0.06207839947005747	
PHOSPHOCREATINE	-0.24456921218112246	0.48826193795464523	
VALINE	-0.4328427362929939	0.04266764258930507	
CYTIDINE MONOPHOSPHATE	0.5335540853547397	0.009944213989368298	
GUANIDINOACETATE	-2.507305673903255	0.0003084579589116108	
NAD+	0.09517679673125383	0.3951727300023573	
PALMITATE	0.41613335580011707	0.02952361067143123	
URIDINE MONOPHOSPHATE	0.6209351372001733	0.2937100281649697	
7-HYDROXYOCTANOATE DIMER	0.06528276913449155	0.7263923360893676	
undecanedioic acid	0.288280356992905	0.06368310229095027	
7-HYDROXYOCTANOATE	0.29025587456881813	0.15980157936913736	
DEOXYGUANOSINE-MONOPHOSPHATE	1.6375609890114415	0.011078784309222557	
ADENOSINE-MONOPHOSPHATE	0.8529975876133163	0.033842527872797255	
ADIPATE	0.15464121993027563	0.2328096907522726	
4-HYDROXYBENZOATE	0.19195247349275735	0.6201531650322151	
Octanoate	0.5809494382145326	0.01060578678425462	
N-ACETYLPUTRESCINE	-1.3808438517651298	0.0016693603279913421	
PHOSPHORYLCHOLINE	-2.354086762661736	0.005819017064072011	
4-GUANIDINOBUTANOATE-2	0.6467432522766525	0.010214703929007751	
SALICYLATE	0.18341010255074314	0.49723081125514496	
6-CARBOXYHEXANOATE	0.22429272411198894	0.12549718219717598	
GUANOSINE MONOPHOSPHATE	1.0733554170709971	0.048567407505830745	
2-ETHYLOCTANEDIOATE	0.25110675769766544	0.0892686715105538	
SEBACATE	0.25110675769766544	0.0892686715105538	
3,4-Dihydroxyhydrocinnamic acid	-0.5448670951433575	0.007254643685117101	
GLUCURONATE	0.012072832300574972	0.956532678894799	
GALACTURONATE	0.003049022003264373	0.9945515110598618	
AZELATE	0.19264507794239583	0.11448925892729915	
SUBERATE	0.257624491984836	0.07991679327838737	
GLUTARATE	0.3370349872775706	0.004049429733890324	
GLUTATHIONE REDUCED	3.3072664337319466	0.00019147194811440258	
PROPIONYLCHOLINE	0.24991464632267293	0.16914532873083038	
ACETOIN	0.3645124877639102	0.03614400003261286	
Dimethyl adipate	0.25475180088867205	0.07743807298133099	
octanoylcarnitine	0.08080721875338394	0.5169810220337466	
2-METHYLGLUTARATE	0.1600596483161083	0.18325117100111785	
MONOMETHYLGLUTARATE	0.18068661363434074	0.1265858202609125	
4-HYDROXYBENZALDEHYDE	0.11145198451328399	0.637759758838257	
METHYGLUTARATE	0.1599529148749471	0.18899858345721798	
O-SUCCINYL-HOMOSERINE-2	0.26401616500124087	0.4700041280335274	
4-HYDROXYPHENYLPYRUVATE	0.1444890397877433	0.44020578301696683	
OXIDIZED GLUTATHIONE	2.93059902252123	0.0008991736880972959	
4-Hydroxyphenyl-2-propionic acid	0.23905729083775107	0.09154207672757386	
6-HYDROXYDOPAMINE	1.6099465085958018	0.155868452388407	
BETAINE ALDEHYDE	1.6283804391400012	0.024268300674235858	
UREA	-0.11657519996000008	0.778988994998597	
N-METHYLGLUTAMATE	1.5077123271819235	0.03513245526916367	
LPC(16:0)	0.3988794209476916	0.005235751248383726	
METHYL 4-AMINOBUTYRATE	0.28116473310805573	0.5242874410230453	
HYPOXANTHINE	1.766058505686533	0.02365161681460518	
DIETHANOLAMINE	0.789422234768422	0.29638596852497945	
3-Hydroxysebacic acid	0.5138413300023891	0.005406833869741723	
NICOTINATE-1	-0.1783372412585124	0.47741160018322015	
UDPgalactose	-0.8561827023178631	0.11595403654375677	
SPERMINE	0.28838001941846414	0.5695666015087716	
PORPHOBILINOGEN-1	-2.2234671016523437	0.0015858926934004675	
TAURINE	0.04419628664770287	0.8514653091898298	
THYMIDINE	0.19000259245103213	0.12254371839183105	
PHENYLLACTATE	-0.23388806017427727	0.07505834213219102	
DL-2-AMINOCTANOATE	0.7342569427422609	0.03189862528612391	
4-GUANIDINOBUTANOATE	-0.4299878407448157	0.03755665301695822	
BENZYLAMINE	-0.33922249213967265	0.16593607551696893	
CYSTEATE	0.23905729083775107	0.09154207672757386	
URIDINE DIPHOSPHATE-N-ACETYLGALACTOSAMINE	-1.0768071889776023	0.12106692545359377	
PHENYLETHANOLAMINE	-0.03552422446269834	0.7901277883955712	
TARTRATE	0.23905729083775107	0.09154207672757386	
URIDINE DIPHOSPHATE-N-ACETYLGLUCOSAMINE	-1.0454941537547828	0.12922105237097595	
LPC(18:1)	0.5442980529108863	0.28086412033063696	
CYSTEINE	0.9626004556086504	0.3302452081513869	
3-(3,4,5-Trimethoxyphenyl)propanoic acid	-0.03024941974233187	0.9446791559908094	
PHOSPHONOACETATE	0.23905729083775107	0.09154207672757386	
THYMINE	0.23905729083775107	0.09154207672757386	
OROTATE	0.23905729083775107	0.09154207672757386	
GALACTITOL	-0.4541186949568253	0.2982911656123544	
MANNITOL	-0.4541186949568253	0.2982911656123544	
URIDINE 5'-DIPHOSPHATE	0.2996388236582516	0.04735433842966267	
hexanoylcarnitine	0.47916783669855956	0.000006677134392678226	
BETA-GLYCEROPHOSPHATE	0.29889169139175714	0.05188911738931559	
GLYCOLATE	0.20428343958359982	0.69713784091166	
ANSERINE	-1.1249901418073303	0.04194790860704755	
ALPHA-KETOISOVALERATE	0.23905729083775107	0.09154207672757386	
ASPARAGINE	-0.3280356729756361	0.4616613763532407	
2-HYDROXYPHENYLACETATE	0.46302369047610764	0.340238931603118	
METHYLTHIOADENOSINE	-0.095888921049434	0.17158610301878507	
GLYCEROL 3-PHOSPHATE	0.2820187968396497	0.07267168031739667	
GALACTARATE	0.005873996639839087	0.9903498902805267	
PYRAZOLE	0.07951270864203451	0.8459598578121204	
Dodecanoic acid	-0.04222823538929744	0.757443052071993	
THIAMINE MONOPHOSPHATE	0.23905729083775107	0.09154207672757386	
1-AMINOCYCLOPROPANECARBOXYLATE	-0.2580423764900398	0.31314316644968854	
2-HYDROXYPYRIDINE	-0.687288148146578	0.021620154250580764	
DEOXYCYTIDINE-2	0.23905729083775107	0.09154207672757386	
S-ADENOSYLMETHIONINE	-0.3451354860486873	0.4587574083768569	
PIPECOLATE	-0.15004556934433322	0.13218236444456266	
N-ACETYLGLYCINE	-0.6750843850740059	0.006825532826218263	
THYROXINE	0.23905729083775107	0.09154207672757386	
S-CARBOXYMETHYLCYSTEINE	0.23905729083775107	0.09154207672757386	
INDOLEACETALDEHYDE	0.23905729083775107	0.09154207672757386	
GLUCONOLACTONE	0.23905729083775107	0.09154207672757386	
2-PROPENOATE-2	0.23905729083775107	0.09154207672757386	
HYDROXYISOCAPROIC	0.3755561705487563	0.17357364838568407	
TRIGONELLINE	-0.1426043954428004	0.27230398224794294	
SACCHARATE	0.06737849270291736	0.8806586231001308	
HISTIDINE	-0.29870467540451945	0.06128055841562471	
PHENYLACETATE	-1.3847658254989044	0.03241549245768122	
SPERMIDINE	0.5352094655240565	0.03095421028589286	
OPHTHALMATE-2	-1.7297743356078166	0.0859678838497289	
GLYOXYLATE	-0.4742046591020471	0.08834085509888427	
MEVALONATE	0.021911309315798492	0.918524408543604	
BETA-ALANINE	-0.946084744210111	0.01934923437013979	
SARCOSINE	-1.0246199667730036	0.015112809834247285	
O-ACETYLSERINE	-0.23764346748387763	0.36560366620820034	
DIMETHYLGLYCINE	-1.7333188681988831	0.1627169993196026	
ASPARTATE	-2.8494956319427454	0.0025767119628774967	
2-DEOXY-D-GLUCOSE	0.013944791164314256	0.9722589347097557	
GLYCEROPHOSPHOCHOLINE	0.05392639079628601	0.8158118487404852	
GAMMA-AMINOBUTYRATE	-2.051165395762265	0.11881088811989034	
3-HYDROXYMETHYLGLUTARATE	0.13603463337268826	0.43734244463481975	
RHAMNOSE	-0.26526811927557314	0.5882822927207211	
N-ACETYLMETHIONINE	-0.36039193291391225	0.07381246866613671	
N-FORMYL-L-METHIONINE	-1.1566569524512667	0.0000959175560061881	
SORBATE	0.23905729083775107	0.09154207672757386	
4-HYDROXY-3-METHOXYPHENYLGLYCOL	0.533500696452652	0.28427269353551937	
TRIMETHYLAMINE	0.6219341345254655	0.012513085225074874	
GLUCOSE 1-PHOSPHATE	0.3490076289436466	0.3430672218987517	
N-ACETYLASPARTATE	-0.43645515660190953	0.18502375823288839	
OXOADIPATE	1.5025706490182387	0.00014308939002829547	
PYROCATECHOL	0.23905729083775107	0.09154207672757386	
4-METHYLCATECHOL	0.23905729083775107	0.09154207672757386	
SORBITOL	-1.4472707297873135	0.03313201668310559	
GLUCOSE 6-PHOSPHATE	0.3490076289436466	0.3430672218987517	
MANNOSE 6-PHOSPHATE	0.37482707178169117	0.3021771838101908	
