, GFP9 -Oh- A, GFP9 -Oh- B, GFP9 -Oh- C, Me3-8 -Oh- A, Me3-8 -Oh- B, Me3-8 -Oh- C
DEOXYGUANOSINE,0.0000241,0.0000219,0.0000325,0.0000305,0.0000302,0.0000255
NICOTINAMIDE MONONUCLEOTIDE,0.0000422,0.0000393,0.0000477,0.0000436,0.0000268,0.000289
Glyceraldehyde 3-phosphate,0.0000204,0.0000195,0.0000248,0.0000247,0.0000163,0.0000177
THYMIDINE-MONOPHOSPHATE,0.0000438,0.0000437,0.00006,0.0000503,0.000041,0.0000668
Azelaic acid,0.0016,0.00185,0.00227,0.0023,0.00221,0.00214
AICAR,0.00000045,0.0000176,0.0000177,0.000015,0.00000953,0.0000303
ETHANOLAMINE PHOSPHATE,0.000024,0.0000179,0.0000214,0.0000112,0.0000154,0.00000713
O-PHOSPHOETHANOLAMINE,0.0000242,0.0000179,0.0000215,0.0000114,0.0000154,0.00000713
DEOXYCYTIDINE-DIPHOSPHATE,0.0000171,0.0000178,0.0000211,0.0000243,0.0000175,0.0000287
ERYTHROSE-4-PHOSPHATE,0.0000123,0.0000161,0.0000247,0.0000166,0.0000199,0.0000115
DIHYDROXYACETONEPHOSPHATE,0.0000209,0.0000204,0.0000251,0.0000255,0.0000168,0.0000183
DEOXYCYTIDINE MONOPHOSPHATE-1,0.0000224,0.0000269,0.00003,0.0000354,0.0000283,0.0000306
GLUCOSAMINE 6-PHOSPHATE,0.0000555,0.0000789,0.0000728,0.0000462,0.0000557,0.0000253
PHOSPHOSERINE,0.000076,0.0000761,0.000114,0.000043,0.0000439,0.0000187
6-Phosphonoglucono-D-lactone,0.000055,0.000046,0.0000604,0.000075,0.0000811,0.000054
SEDOHEPTULOSE-7-PHOSPHATE,0.00013,0.000211,0.000223,0.000277,0.000276,0.000148
6-PHOSPHOGLUCONATE,0.000179,0.000269,0.000342,0.000341,0.000376,0.000099
"Fructose 1,6-bisphosphate",0.000192,0.000208,0.000317,0.000492,0.000558,0.000252
HYPOTAURINE,0.00025,0.000343,0.000427,0.000365,0.000522,0.000169
D-RIBOSE 5-PHOSPHATE,0.000316,0.000469,0.000552,0.000553,0.000539,0.000602
Ribose-5-phosphate,0.000352,0.000498,0.00058,0.000577,0.000556,0.000621
Xylulose-5-phosphate,0.000358,0.000507,0.000588,0.00059,0.000562,0.000627
RIBULOSE-5-PHOSPHATE,0.000358,0.000507,0.00059,0.00059,0.000562,0.000636
PHOSPHOCREATINE,0.00109,0.00069,0.00058,0.00101,0.000524,0.000458
VALINE,0.00106,0.000699,0.000714,0.000676,0.000596,0.00056
CYTIDINE MONOPHOSPHATE,0.000701,0.000665,0.000786,0.00104,0.000825,0.00125
GUANIDINOACETATE,0.00499,0.00802,0.00764,0.00172,0.00145,0.000462
NAD+,0.00472,0.0051,0.00587,0.00506,0.00529,0.00641
PALMITATE,0.000075,0.000116,0.000138,0.000157,0.000143,0.000139
URIDINE MONOPHOSPHATE,0.0000622,0.00259,0.00439,0.00364,0.00207,0.00512
7-HYDROXYOCTANOATE DIMER,0.0000327,0.0000528,0.0000614,0.0000584,0.0000516,0.0000437
undecanedioic acid,0.00257,0.00308,0.00398,0.00419,0.00403,0.00354
7-HYDROXYOCTANOATE,0.0000698,0.0000727,0.00012,0.000112,0.000105,0.000104
DEOXYGUANOSINE-MONOPHOSPHATE,0.0000241,0.0007,0.00132,0.00232,0.00127,0.00277
ADENOSINE-MONOPHOSPHATE,0.00326,0.00172,0.00302,0.00481,0.00299,0.00665
ADIPATE,0.000172,0.000185,0.000244,0.000237,0.000223,0.000209
4-HYDROXYBENZOATE,0.00000567,0.0000228,0.0000132,0.000013,0.0000141,0.0000205
Octanoate,0.00000612,0.00000678,0.0000111,0.0000124,0.0000114,0.0000121
N-ACETYLPUTRESCINE,0.0000339,0.0000458,0.0000565,0.0000171,0.0000118,0.0000234
PHOSPHORYLCHOLINE,0.032,0.074,0.0936,0.017,0.0171,0.00494
4-GUANIDINOBUTANOATE-2,0.0000665,0.0000557,0.0000675,0.00009,0.000081,0.000126
