 	mecr_fc	mecr_bh	
Tbc1d25	0.13722667588045162	0.16014230655838493	
Cul4b	0.28339570192906227	0.004777178642890498	
Dhx8	0.3264322520582101	0.0839333662388507	
Pgap3	-0.011652707005351726	0.9600104100033056	
Arfgef2	-0.06805271402013545	0.18195144694892643	
Smurf2	0.3127977913184794	0.026192182713348628	
Tanc2	-0.6469925045660178	0.016829986116576483	
Gpatch8	0.18190652640383556	0.02135226944813648	
Cdc27	0.1423095268588294	0.4486504596346647	
Cdr2l	0.709906196471214	0.000012400042978368765	
Zmym4	0.0524466611470518	0.6675063364027344	
Kiaa1522	0.008867812930451194	0.8532997758421552	
Fbf1	0.21296359265727785	0.11379085850025088	
Ptprf	0.46938748397279206	0.10994077529874162	
Osbpl9	-0.34936210276211305	0.00002444324726284849	
Szt2	0.15207639082287028	0.11799281506432487	
Sh3pxd2b	-0.5176710937432906	0.004390398676632566	
Med14	-0.12677659915349698	0.02842967570662902	
Faap100	0.07381495273145172	0.38607955834493374	
Ddi2	-0.3038719007358364	0.16366016413802767	
Dock11	-0.16395242385271983	0.33045819957987643	
A2AG58	0.023694497281814716	0.7504595947317858	
Med12	0.11531844547957502	0.04482772076181238	
Ryr3	-0.3825105294546969	0.0002501473131357206	
Camsap1	0.02959473732322705	0.8754710380603578	
Lzts3	-0.6526696246268544	0.004850601263560189	
Tprn	-0.4094160093250941	0.0066306006080455605	
Kiaa1429	-0.09669890432853634	0.11903629193387656	
Sdccag3	-0.42336937931148944	0.00005116952359480172	
Man1b1	-0.1296829706362512	0.03280619229934517	
Pnpla7	0.9686780140087677	0.0020443589096236503	
Map7d1	-0.4018049217581696	0.0027404395252236813	
Fggy	-0.37622567089844133	0.020105933808948727	
Dpy19l4	-0.08189447044400978	0.8000681398767775	
Pnisr	0.194266609914268	0.029041808246008022	
Dcaf10	-0.24649918913778932	0.006950203612330785	
Focad	0.2438427894155246	0.009555218103313843	
Ttc30a2	-0.024234559508796997	0.8234874085128968	
Setx	-0.023813904757086585	0.8425561617688565	
Dnajc25	0.35775795939426364	0.31240344976130346	
Cntln	0.03683293030322692	0.21737695287512301	
Murc	-0.8048937904335629	0.00245390345269369	
Ubr4	-0.18570823993072524	0.05400970312387937	
Tpx2	0.44065507967281214	0.00026611042845819385	
Ndufaf5	0.1263967276808979	0.20720446431680833	
Rtf1	-0.1884650150234547	0.0664208480238513	
Myh7b	-0.6108687281618189	0.04331700303521593	
Ppig	0.16898070245229557	0.018462912388166334	
Fsip2	-0.24178937033502979	0.01257675772507963	
Ttn	-1.4978792942747476	0.009166140683490566	
Klhl41	-1.616847647795537	0.000492990430059923	
Cep152	0.14080143208662876	0.288303438650759	
Slc43a3	0.11869609654459332	0.23216845240637987	
Rabgap1	-0.06294012081466194	0.4656985003289673	
Mga	0.268675368603075	0.01762659553642877	
Arhgef10l	-1.27810723487062	0.000015667867848090305	
Mocs3	-0.016663323177774234	0.8158774820600793	
Las1l	-0.04160743124622525	0.6556272581880638	
Arid1a	-0.4892606213006848	0.00017486095870608112	
Kalrn	-0.33766834081048214	0.0014419490345381424	
Arid4b	0.1737162259100196	0.002585652577945389	
Uhrf1bp1l	0.06948165142948289	0.40479377666091076	
Dennd5b	-0.11582220710995297	0.3318659284923205	
Tyw5	0.18204792285509508	0.007011117907116641	
Kansl3	0.21192192982638783	0.12238488562466478	
Trmt1l	0.33572364615150146	0.011825533617734802	
Rsrc2	0.2873940264779518	0.0034921887171384387	
Chd6	0.5243454203274457	0.0927330533144857	
Tbc1d8b	-0.2543102520620185	0.00013622869030191669	
	0.46279980682920013	0.00033876358063440797	
Ralgapa2	0.030700886284259866	0.7005256644909673	
