 	mecr_fc	mecr_bh
DHX8	0.3264322520582101	0.0839333662388507
PGAP3	-0.0116527070053517	0.9600104100033056
TANC2	-0.6469925045660178	0.0168299861165764
GPATCH8	0.1819065264038355	0.0213522694481364
CDR2L	0.709906196471214	1.24000429783e-05
ZMYM4	0.0524466611470518	0.6675063364027344
KIAA1522	0.0088678129304511	0.8532997758421552
SH3PXD2B	-0.5176710937432906	0.0043903986766325
DDI2	-0.3038719007358364	0.1636601641380276
A2AG58	0.0236944972818147	0.7504595947317858
CAMSAP1	0.029594737323227	0.8754710380603578
LZTS3	-0.6526696246268544	0.0048506012635601
KIAA1429	-0.0966989043285363	0.1190362919338765
SDCCAG3	-0.4233693793114894	5.11695235948e-05
MAP7D1	-0.4018049217581696	0.0027404395252236
FGGY	-0.3762256708984413	0.0201059338089487
DPY19L4	-0.0818944704440097	0.8000681398767775
PNISR	0.194266609914268	0.029041808246008
FOCAD	0.2438427894155246	0.0095552181033138
TTC30A2	-0.0242345595087969	0.8234874085128968
SETX	-0.0238139047570865	0.8425561617688565
DNAJC25	0.3577579593942636	0.3124034497613034
CNTLN	0.0368329303032269	0.217376952875123
MURC	-0.8048937904335629	0.0024539034526936
MYH7B	-0.6108687281618189	0.0433170030352159
PPIG	0.1689807024522955	0.0184629123881663
FSIP2	-0.2417893703350297	0.0125767577250796
SLC43A3	0.1186960965445933	0.2321684524063798
MOCS3	-0.0166633231777742	0.8158774820600793
TRMT1L	0.3357236461515014	0.0118255336177348
RSRC2	0.2873940264779518	0.0034921887171384
CHD6	0.5243454203274457	0.0927330533144857
RALGAPA2	0.0307008862842598	0.7005256644909673
EXOC6B	-0.1946762273969233	0.0560637677350343
MIPEP	0.1382055524626304	0.0173413617742811
PHRF1	0.4688475215867572	6.026680355862394e-08
SAC3D1	0.0276816271106346	0.6884132105880767
RABGAP1L	-0.1101779967585489	0.1534203681542665
ANXA2P2	0.1095767768051651	0.1571335241035363
WDR76	0.7185423147431333	4.7737827619e-06
DPY19L1	0.9603920225261904	0.0101090327002914
SERTAD4	-0.165106855969811	0.2774857695415808
USP36	0.4117365052781619	0.0058854727940836
CISD3	-0.5291126400930264	2.7816027192e-06
MMS22L	-0.0666158026296604	0.2948185701866185
UPRT	-0.0240265128978401	0.7874387412710705
ZCCHC7	0.556111968866818	3.11336656257e-05
AKIRIN2	-0.1635242572888126	0.2580846994167829
NFX1	0.1116524594895915	0.171870973356205
TMEM245	-0.229210044489352	0.4943322154808963
YTHDC2	0.6001991439730717	0.0008929635657154
OTUD4	0.4780271612864213	0.0793961566488643
ZCCHC24	0.0632413725907136	0.4934734001238092
CSPP1	0.2882554395368338	0.0231595825142313
ANKRD44	0.0437753404775169	0.8720130205101233
PLXNB2	0.0809958672872132	0.0149228893561996
RBM25	0.006134968387076	0.901563696106025
XPNPEP3	0.0803668043558589	0.3672061388149626
MNDAL	0.5973749540122377	0.0001888177149497
SAMD1	1.1819452180846497	0.0034039796572224
CCDC6	-1.053532019222241	1.00511723767e-05
RBM24	-0.4621504554001217	0.0183478771067796
PTRHD1	0.0910742032521746	0.3224493054929767
PIEZO1	0.3546092229040908	0.1386331096894168
TALPID3	0.1169315147546831	0.0553494186277041
CCDC175	0.0670356264597121	0.3418529326641717
TTC17	0.2906517550449967	0.0031499893117468
CHD2	0.3302672544727262	0.0937409367411719
IRF2BP2	-0.0407168979654749	0.533835214754214
CCDC171	-0.0066263012827833	0.9157598978803888
MYO1E	0.0934448552368791	0.1862142827320081
CCDC85C	-0.0412063627285594	0.656405899606788
RABL2	-0.2748755440010152	0.0030814360789657
NCCRP1	-0.0611807439652805	0.8652953216173729
ARFGEF1	-0.1508167299848697	0.0522642747787248
DPYSL2	-0.2811745638616837	0.0028041502444597
GTPBP1	0.6631872023824714	0.0025440019911439
PTEN	0.2040890079287209	0.0004557498040215
MKNK1	-0.1143904751430701	0.1015517145821994
MAP3K4	-0.3049426968233185	1.15357629971e-05
