 	oxsm_fc	oxsm_bh	
DEOXYGUANOSINE	0.21634117038575226	0.25177780722392046	
NICOTINAMIDE MONONUCLEOTIDE	0.22589759047090413	0.014264840948780862	
Glyceraldehyde 3-phosphate	-0.6441349444931821	0.0017968195701676013	
THYMIDINE-MONOPHOSPHATE	-0.7223682179532482	0.00245767474700395	
Azelaic acid	0.2747568908583355	0.05856161953866352	
AICAR	0.25291018856008635	0.6118516653157277	
ETHANOLAMINE PHOSPHATE	-0.6716136270660332	0.02419843120859036	
O-PHOSPHOETHANOLAMINE	-0.6784348929220475	0.02326538281844623	
DEOXYCYTIDINE-DIPHOSPHATE	-1.7481727228459116	0.011902174684181078	
ERYTHROSE-4-PHOSPHATE	0.36949671536865836	0.17617956352981054	
DIHYDROXYACETONEPHOSPHATE	-0.6676802992660421	0.0011690318011956542	
DEOXYCYTIDINE MONOPHOSPHATE-1	0.32737565972703286	0.010300629632986325	
GLUCOSAMINE 6-PHOSPHATE	0.028951373696129303	0.8910378259619589	
PHOSPHOSERINE	-0.5776618073972254	0.03407418107571447	
6-Phosphonoglucono-D-lactone	1.0492075240836343	0.000006147347173697118	
SEDOHEPTULOSE-7-PHOSPHATE	0.4150374992788435	0.11518082712461321	
6-PHOSPHOGLUCONATE	0.22134850302687029	0.3530207549985821	
Fructose 1,6-bisphosphate	1.1471658884410532	0.0002900210561624895	
HYPOTAURINE	0.9289740485603344	0.011408977135287903	
D-RIBOSE 5-PHOSPHATE	0.4496872998908692	0.02462230251768079	
Ribose-5-phosphate	0.4069438172325075	0.029692357489571483	
Xylulose-5-phosphate	0.40357363314090927	0.03024058814563546	
RIBULOSE-5-PHOSPHATE	0.40608589843431536	0.02854722861352328	
PHOSPHOCREATINE	-0.3181124485454985	0.4026090289267935	
VALINE	-0.3457505296088261	0.1710822434282859	
CYTIDINE MONOPHOSPHATE	-0.5766067780654263	0.0003745765069536643	
GUANIDINOACETATE	-3.8280426072745755	0.00008479012749594642	
NAD+	0.03182878948682246	0.74637426160711	
PALMITATE	0.3591554149719439	0.1318858258428174	
URIDINE MONOPHOSPHATE	0.36825409378595353	0.498098550442529	
7-HYDROXYOCTANOATE DIMER	0.0029432755007330327	0.9803196661205416	
undecanedioic acid	0.3507028575267203	0.03512470939998739	
7-HYDROXYOCTANOATE	0.30812229536233193	0.1624562723048931	
DEOXYGUANOSINE-MONOPHOSPHATE	0.13653434801963088	0.8290851956532591	
ADENOSINE-MONOPHOSPHATE	-0.6580142527713844	0.039998794297505316	
ADIPATE	0.1760465835335465	0.2650565244691355	
4-HYDROXYBENZOATE	-0.003813445798336803	0.9954278402816016	
Octanoate	0.581752944245266	0.04314901635829563	
N-ACETYLPUTRESCINE	-1.5504240820166773	0.0008031099267297011	
PHOSPHORYLCHOLINE	-1.5620165690550765	0.018515888372346294	
4-GUANIDINOBUTANOATE-2	0.29970287118554834	0.016526723877064668	
SALICYLATE	0.303704336268455	0.3246592148022953	
6-CARBOXYHEXANOATE	0.31103357319096175	0.02604863344049003	
GUANOSINE MONOPHOSPHATE	-0.21574256252293006	0.4716945258889169	
2-ETHYLOCTANEDIOATE	0.32710214122529935	0.02736238446282732	
SEBACATE	0.32710214122529935	0.02736238446282732	
3,4-Dihydroxyhydrocinnamic acid	0.5354066762469238	0.03202892048352785	
GLUCURONATE	0.30485458152842093	0.18215377254838017	
GALACTURONATE	0.2777120122385452	0.20030721735788715	
AZELATE	0.23810509689930892	0.09620365644181171	
SUBERATE	0.29305398152243367	0.08417465184704234	
GLUTARATE	0.404558981474579	0.012808992070932014	
GLUTATHIONE REDUCED	2.360786070900417	0.0005573230336696428	
PROPIONYLCHOLINE	0.3444207645771323	0.011169384353933193	
ACETOIN	0.28819635239052366	0.038882270679425276	
Dimethyl adipate	0.2764468719879908	0.09360433281167511	
octanoylcarnitine	0.3031996400898318	0.13720885465497665	
2-METHYLGLUTARATE	0.23225142353717024	0.073336380615628	
MONOMETHYLGLUTARATE	0.2444439785226007	0.07679859759328353	
4-HYDROXYBENZALDEHYDE	-0.394733402823755	0.04113207555686831	
METHYGLUTARATE	0.23951168298037004	0.07597197327300624	
