 	oxsm_fc	oxsm_bh	Unnamed: 3
NICOTINAMIDE MONONUCLEOTIDE	0.2258975904709041	0.0142648409487808	
Azelaic acid	0.2747568908583355	0.0585616195386635	
ETHANOLAMINE PHOSPHATE	-0.6716136270660332	0.0241984312085903	
DEOXYCYTIDINE MONOPHOSPHATE-1	0.3273756597270328	0.0103006296329863	
6-PHOSPHOGLUCONATE	0.2213485030268702	0.3530207549985821	
D-RIBOSE 5-PHOSPHATE	0.4496872998908692	0.0246223025176807	
PALMITATE	0.3591554149719439	0.1318858258428174	
7-HYDROXYOCTANOATE DIMER	0.002943275500733	0.9803196661205416	
undecanedioic acid	0.3507028575267203	0.0351247093999873	
7-HYDROXYOCTANOATE	0.3081222953623319	0.1624562723048931	
ADIPATE	0.1760465835335465	0.2650565244691355	
N-ACETYLPUTRESCINE	-1.5504240820166773	0.0008031099267297	
4-GUANIDINOBUTANOATE-2	0.2997028711855483	0.0165267238770646	
6-CARBOXYHEXANOATE	0.3110335731909617	0.02604863344049	
2-ETHYLOCTANEDIOATE	0.3271021412252993	0.0273623844628273	
SEBACATE	0.3271021412252993	0.0273623844628273	
3,4-Dihydroxyhydrocinnamic acid	0.5354066762469238	0.0320289204835278	
GALACTURONATE	0.2777120122385452	0.2003072173578871	
AZELATE	0.2381050968993089	0.0962036564418117	
SUBERATE	0.2930539815224336	0.0841746518470423	
GLUTARATE	0.404558981474579	0.012808992070932	
PROPIONYLCHOLINE	0.3444207645771323	0.0111693843539331	
ACETOIN	0.2881963523905236	0.0388822706794252	
Dimethyl adipate	0.2764468719879908	0.0936043328116751	
octanoylcarnitine	0.3031996400898318	0.1372088546549766	
2-METHYLGLUTARATE	0.2322514235371702	0.073336380615628	
MONOMETHYLGLUTARATE	0.2444439785226007	0.0767985975932835	
4-HYDROXYBENZALDEHYDE	-0.394733402823755	0.0411320755568683	
METHYGLUTARATE	0.23951168298037	0.0759719732730062	
O-SUCCINYL-HOMOSERINE-2	0.4961896071302741	0.1172698064997218	
4-Hydroxyphenyl-2-propionic acid	0.2898479017292842	0.0462722229484346	
6-HYDROXYDOPAMINE	1.922342125114412	0.0034492844700492	
N-METHYLGLUTAMATE	1.7393742442483755	0.0190670564869006	
LPC(16:0)	0.5091614759626022	0.000117593874696	
METHYL 4-AMINOBUTYRATE	0.1838362629637146	0.6167135203881577	
DIETHANOLAMINE	0.076413115519168	0.8625462112765828	
3-Hydroxysebacic acid	0.4548894102353706	0.0136091440076337	
NICOTINATE-1	-0.3370349872775707	0.4316599264935961	
PORPHOBILINOGEN-1	-0.0739008065524272	0.6471446867079086	
PHENYLLACTATE	0.4798077546690816	0.0036115956411501	
DL-2-AMINOCTANOATE	0.5432086497341948	0.1846981635839265	
4-GUANIDINOBUTANOATE	-0.4299878407448157	0.0380068624376036	
URIDINE DIPHOSPHATE-N-ACETYLGALACTOSAMINE	-0.2448534271246312	0.7647991370043533	
PHENYLETHANOLAMINE	0.026863663009472	0.9015079373143564	
TARTRATE	0.2898479017292842	0.0462722229484346	
LPC(18:1)	0.2941449383738244	0.3477659924765472	
3-(3,4,5-Trimethoxyphenyl)propanoic acid	-0.2184072956501437	0.7081696047686222	
PHOSPHONOACETATE	0.2898479017292842	0.0462722229484346	
GALACTITOL	0.0468956252244614	0.6365618436601773	
MANNITOL	0.0468956252244614	0.6365618436601773	
hexanoylcarnitine	0.878855164849733	3.43552369513e-05	
BETA-GLYCEROPHOSPHATE	0.1151740892866835	0.4064945297048922	
2-HYDROXYPHENYLACETATE	0.629116830327393	0.2116807623406213	
GALACTARATE	0.0938116166423317	0.5194480351712563	
PYRAZOLE	-0.2779448111838236	0.656224842679219	
