 	oxsm_fc	oxsm_bh	
Tbc1d25	-0.31824897218401577	0.36950348283624385	
Cul4b	0.09950370873558423	0.00010979060238208523	
Dhx8	-0.11601245886659278	0.2218981891118948	
Pgap3	-0.39024435983617534	0.9211389943817466	
Arfgef2	-0.39747979636426634	0.7515768582174706	
Smurf2	0.09837187395971314	0.008671584483412261	
Tanc2	-0.6189788766606912	0.06746978127691867	
Gpatch8	-0.554898806985136	0.11864348122625855	
Cdc27	-0.2162990771646951	0.3371522018371007	
Cdr2l	-0.1986598560324104	0.2878442477646062	
Zmym4	-0.5080665825225774	0.4939661053380395	
Kiaa1522	-0.735843168374586	0.03078194456834518	
Fbf1	-0.4014429901009942	0.900702157647307	
Ptprf	-1.291312189080117	0.0000018734237067436388	
Osbpl9	-0.9919627001271558	0.0003631223108286208	
Szt2	-0.3621753030435272	0.5708106826218415	
Sh3pxd2b	-0.825478457468285	0.014689445845289058	
Med14	-0.3313525314818226	0.09953816459494479	
Faap100	-0.22434050236607164	0.18886548401320782	
Ddi2	-0.8074592440132713	0.10831422568138796	
Dock11	-0.28441033118518255	0.3916988467207378	
	-0.3233564721156095	0.49355777653293004	
Med12	-0.22433800665357229	0.002581279083358473	
Ryr3	-0.8935500491737142	0.000164165070298604	
Camsap1	-0.3793510752599861	0.8703519190662873	
Lzts3	-1.2684116620335943	0.005376512872829831	
Tprn	-0.7852173432691386	0.012423250205189959	
Kiaa1429	-0.6698562253067731	0.007841757906966958	
Sdccag3	-1.0174109365097022	0.00012095687132201435	
Man1b1	-0.5409724649084287	0.17545982507448094	
Pnpla7	0.6868993004423496	0.021913044539128984	
Map7d1	-0.960994141550945	0.0035865289317366165	
Fggy	0.04880071507883314	0.000927462935820768	
Dpy19l4	0.045417209994671866	0.16404850201773882	
Pnisr	-0.7488038015711606	0.04191543915795205	
Dcaf10	-0.8011737733229629	0.00400580206837124	
Focad	-0.49998597626030716	0.2406410180720301	
Ttc30a2	-0.34549962868106004	0.5761272229547133	
Setx	-0.5227856325158349	0.4592665519626737	
Dnajc25	-0.08660503667219223	0.35054835062662526	
Cntln	-0.3930357618275866	0.9018029666559091	
Murc	-0.13780065346339063	0.12537519940550768	
Ubr4	-0.3934095602745872	0.8010035547870271	
Tpx2	-0.24563629636145506	0.028215470563339423	
Ndufaf5	-0.4488082430930198	0.6248308988272319	
Rtf1	-0.6645085797616325	0.0312997250596798	
Myh7b	-1.0455194609917815	0.07261285052539494	
Ppig	-0.627108109693761	0.01282112694713288	
Fsip2	-0.5634876751012429	0.1259823861397539	
Ttn	-1.9270753100646747	0.021814210703878158	
Klhl41	-2.0263622599704303	0.0016396566369358408	
Cep152	-0.9597851437056002	0.0007353635342824249	
Slc43a3	-0.4023042861023091	0.8843792488469218	
Rabgap1	-0.512784314295499	0.19755952018651918	
Mga	-0.1001685592798803	0.0045549822511427316	
Arhgef10l	-1.2306920647151869	0.0009712655499207822	
Mocs3	-0.2618839085955298	0.41173677655685514	
Las1l	-0.6793218280744938	0.003914008247053949	
Arid1a	-0.7550346736920823	0.00638791097806778	
Kalrn	-0.6378497976222093	0.02305734973375637	
Arid4b	-0.39959034945852057	0.8014058223162168	
Uhrf1bp1l	-0.025893729745010714	0.040734413989717985	
Dennd5b	-0.5071326638984124	0.49606083444380966	
Tyw5	-0.2893503868245675	0.02869896352888415	
Kansl3	-0.10092361992981988	0.04791187966120078	
Trmt1l	-0.05810728771197509	0.19674102642468688	
Rsrc2	-0.4540230554810907	0.586629229117884	
Chd6	0.03658586780572504	0.22712292074585053	
Tbc1d8b	-0.2502030839906158	0.23889685799936142	
	0.016586178023972137	0.12914524303333474	
Ralgapa2	-0.5337147951314912	0.16925768959414378	
Odf2	-0.02913413747358778	0.12682395187923934	
Mtr	-0.16898652603970798	0.00805201202957907	
Exoc6b	-0.431669155718477	0.8767361128555272	
Mipep	-0.3619043326217553	0.5501609394157196	
Phrf1	-0.14189691776105615	0.0002566043140232857	
	-0.39134349031814164	0.4844876313005606	
Sac3d1	-0.014980152668897231	0.0008626723799523657	
Rabgap1l	-0.5130398459434125	0.19289848562552828	
Dennd4c	-0.5679322499634579	0.04923022466422798	
ANXA2P2	-0.5793071249687571	0.07437541547683278	
Wdr76	-0.009275710969557673	0.0006269028283606834	
Arhgap31	-0.974187193952365	0.00882090956648606	
Dpy19l1	0.8562638159130423	0.0004965529463685958	
Itih4	-0.8385223371283127	0.01903750150786522	
Sertad4	-0.12439694026970594	0.12088894956999505	
Thada	-0.17683263088876786	0.01459862374849338	
Ptprs	-0.6083702831743962	0.11271422637349585	
Usp36	-0.5735179805669441	0.026276678593721504	
Cisd3	-1.549290992844581	3.7401125699214966e-8	
Mms22l	-0.5471164050965086	0.29134158375607383	
Kif16b	-0.02301153979454806	0.00016075751372872263	
Uprt	-0.1253045830384187	0.012983750968316702	
Zcchc7	-0.45992713618120135	0.652837308198966	
Akirin2	-0.7908786357039481	0.04165057163179014	
Tomm5	-0.2810789230152427	0.3655339205286204	
Nfx1	-0.5332126523293423	0.09270691458322174	
Usp24	-0.802626750812238	0.008492456489310369	
Tmem245	-0.26539336746081926	0.6334887079829951	
Thoc2	0.2626377484221156	0.015773213389930686	
Dlgap4	-1.605016606043972	0.0000345694820572763	
Cad	-0.28183556526242776	0.09705389049351933	
Arhgap42	-0.7442893600805492	0.0004258665600894604	
Ythdc2	0.027508356900635002	0.062333432846669576	
Otud4	-0.7443766664220326	0.006885115726427991	
Rrn3	-0.8118726650948301	0.009480885068055823	
Otud7b	-0.7660020951129753	0.0008209975263273576	
Zcchc24	-0.28955160621750825	0.2087498830006518	
Ep300	-0.06194642588514305	0.010979901439287683	
Zcchc11	-0.08499168473190609	0.005447721819358784	
Cspp1	-0.06602501401730985	0.008555478449035413	
Trappc11	-0.6688742067187242	0.021265524661979774	
Ankrd44	-0.19031570553959812	0.05467779817676652	
Plxnb2	-0.24485445556140412	0.014243328429405332	
Dock5	-0.35056887098995393	0.6152518993589174	
Rbm25	-0.6275987903163885	0.006216088724353948	
Xpnpep3	-0.1776906606260225	0.19199348475382438	
Kif7	-0.6219446493064646	0.007455604038426343	
Qtrtd1	-0.30509971379830775	0.09449697694074155	
Tmf1	-0.8369165551295648	0.000012719152308864759	
Mndal	0.24967900021610234	0.0005992169102226762	
Samd1	-0.24264655653200032	0.09753483921301281	
Safb	-0.5869350193965703	0.005528372162810095	
Mthfd2l	-0.26783739690235253	0.017208881480604062	
Ccdc6	-0.9624587044903934	0.0011565887114864894	
Ccdc8	-2.276050185167126	0.000012247597907075043	
Rbm24	-1.699535743275969	0.001138826500947306	
Ptrhd1	-0.8497868089470411	0.0019495084087039875	
Gls	-0.6862806503476576	0.0007781922251726311	
Gls	-0.5573630217563501	0.25144730548181693	
Piezo1	-0.09616914397964486	0.11963585548843986	
Talpid3	-0.4950872032333302	0.2088621163140856	
Ccdc175	-0.19202452593073338	0.0056475335891565176	
Ttc17	-0.2630592959512856	0.12122781369682141	
Ascc3	-0.2470583102460603	0.02346352359931435	
Chd2	-0.22166946333102297	0.37504081906036596	
Irf2bp2	-0.24704172400841548	0.012567007516821375	
Ccdc171	-0.32440644785900324	0.21646886872784685	
Rnf213	-0.8163851227771007	0.027351934583940106	
Setd2	-0.2971084906753748	0.0021941869318984762	
Kif23	-0.44079869432826696	0.8455221971236796	
Myo1e	-0.5461649085546948	0.09211454944230955	
Ccdc85c	-0.4235337006087289	0.9279660619276456	
Rabl2	-0.7918894604199014	0.000011643211811133601	
Helz2	-0.7013508552238259	0.000011105454084628639	
Tpr	-0.5843832934079007	0.01190937714618924	
Tspan15	-0.9526453373821361	0.000006910992297043216	
Farp1	-0.1292086230117518	0.024957109032333245	
Myo10	-0.3185692089921048	0.5090099584712712	
Nccrp1	-0.36037813340977076	0.8872584779842146	
Arfgef1	-0.5053653169959423	0.09406452866203084	
Sclt1	-0.5000505435172719	0.5494506786575138	
Trip12	0.05026661564345105	0.04439759511251392	
Ank3	-0.6797127775227272	0.27091980002073546	
Hk2	-0.36071838392943073	0.7160200222669296	
Capn2	-0.872049980476916	0.00003901621898143683	
