 	oxsm_fc	oxsm_bh
DHX8	-0.1160124588665927	0.2218981891118948
PGAP3	-0.3902443598361753	0.9211389943817466
TANC2	-0.6189788766606912	0.0674697812769186
GPATCH8	-0.554898806985136	0.1186434812262585
CDR2L	-0.1986598560324104	0.2878442477646062
ZMYM4	-0.5080665825225774	0.4939661053380395
KIAA1522	-0.735843168374586	0.0307819445683451
SH3PXD2B	-0.825478457468285	0.014689445845289
DDI2	-0.8074592440132713	0.1083142256813879
CAMSAP1	-0.3793510752599861	0.8703519190662873
LZTS3	-1.2684116620335943	0.0053765128728298
KIAA1429	-0.6698562253067731	0.0078417579069669
SDCCAG3	-1.0174109365097022	0.000120956871322
MAP7D1	-0.960994141550945	0.0035865289317366
FGGY	0.0488007150788331	0.0009274629358207
DPY19L4	0.0454172099946718	0.1640485020177388
PNISR	-0.7488038015711606	0.041915439157952
FOCAD	-0.4999859762603071	0.2406410180720301
TTC30A2	-0.34549962868106	0.5761272229547133
SETX	-0.5227856325158349	0.4592665519626737
DNAJC25	-0.0866050366721922	0.3505483506266252
CNTLN	-0.3930357618275866	0.9018029666559092
MURC	-0.1378006534633906	0.1253751994055076
MYH7B	-1.0455194609917815	0.0726128505253949
PPIG	-0.627108109693761	0.0128211269471328
FSIP2	-0.5634876751012429	0.1259823861397539
SLC43A3	-0.4023042861023091	0.8843792488469218
MOCS3	-0.2618839085955298	0.4117367765568551
TRMT1L	-0.058107287711975	0.1967410264246868
RSRC2	-0.4540230554810907	0.586629229117884
CHD6	0.036585867805725	0.2271229207458505
RALGAPA2	-0.5337147951314912	0.1692576895941437
EXOC6B	-0.431669155718477	0.8767361128555272
MIPEP	-0.3619043326217553	0.5501609394157196
PHRF1	-0.1418969177610561	0.0002566043140232
SAC3D1	-0.0149801526688972	0.0008626723799523
RABGAP1L	-0.5130398459434125	0.1928984856255282
ANXA2P2	-0.5793071249687571	0.0743754154768327
WDR76	-0.0092757109695576	0.0006269028283606
DPY19L1	0.8562638159130423	0.0004965529463685
SERTAD4	-0.1243969402697059	0.120888949569995
USP36	-0.5735179805669441	0.0262766785937215
CISD3	-1.549290992844581	3.7401125699214966e-08
MMS22L	-0.5471164050965086	0.2913415837560738
UPRT	-0.1253045830384187	0.0129837509683167
ZCCHC7	-0.4599271361812013	0.652837308198966
AKIRIN2	-0.7908786357039481	0.0416505716317901
NFX1	-0.5332126523293423	0.0927069145832217
TMEM245	-0.2653933674608192	0.6334887079829951
YTHDC2	0.027508356900635	0.0623334328466695
OTUD4	-0.7443766664220326	0.0068851157264279
ZCCHC24	-0.2895516062175082	0.2087498830006518
CSPP1	-0.0660250140173098	0.0085554784490354
ANKRD44	-0.1903157055395981	0.0546777981767665
PLXNB2	-0.2448544555614041	0.0142433284294053
RBM25	-0.6275987903163885	0.0062160887243539
XPNPEP3	-0.1776906606260225	0.1919934847538243
MNDAL	0.2496790002161023	0.0005992169102226
SAMD1	-0.2426465565320003	0.0975348392130128
CCDC6	-0.9624587044903934	0.0011565887114864
RBM24	-1.699535743275969	0.0011388265009473
PTRHD1	-0.8497868089470411	0.0019495084087039
PIEZO1	-0.0961691439796448	0.1196358554884398
TALPID3	-0.4950872032333302	0.2088621163140856
