,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Tbc1d25,408.535,491.585,390.476,443.935,502.208,492.267,396.693
Cul4b,4605.38,3877.03,5052.17,4398.8,6188.15,6332.75,6693.01
Dhx8,1354.32,762.929,1444.6,1072.42,1201.67,1273.05,1801.48
Pgap3,40.1703,20.2235,49.0731,27.7447,33.877,37.2066,33.6089
Arfgef2,2721.28,2859.2,2514.11,2696.44,2695.17,2542.45,2954.75
Smurf2,484.977,344.998,502.431,396.931,542.564,593.533,715.27
Tanc2,579.337,467.535,528.101,457.143,416.461,429.636,477.078
Gpatch8,1632.55,1851,1647.56,1799.06,1707.24,1640.49,1369.67
Cdc27,2216.08,1188.4,2339.15,1715.29,2004.37,2031.36,2384.69
Cdr2l,277.518,311.583,279.663,322.969,291.315,283.291,463.822
Zmym4,991.645,718.274,987.341,809.941,878.65,887.641,699.847
Kiaa1522,800.597,819.214,840.881,886.736,754.224,754.022,501.774
Fbf1,52.3193,54.3707,58.7723,72.9138,59.9321,56.627,63.9156
Ptprf,183.344,168.854,160.643,167.394,88.5585,85.3834,103.988
Osbpl9,2010.17,2229.86,1983.37,2128.76,1572.31,1499.49,1127.61
Szt2,18.9448,16.0086,14.4003,17.566,17.0819,16.1805,18.8005
Sh3pxd2b,5871.59,4725.41,5382.24,4605.4,4262.69,4239.55,3113.57
Med14,912.155,844.317,965.676,900.554,918.471,980.523,980.297
Faap100,84.9749,106.859,81.9779,96.1563,115.748,115.693,85.2466
Ddi2,1534.3,1920.04,1166.13,1333.24,1275.1,1297.3,829.474
Dock11,1220.67,819.819,1317.31,1044.26,1270.89,1271.02,1072.52
,130.325,141.451,144.006,159.964,178.359,162.277,119.505
Med12,1544.83,1447.26,1676.65,1601.35,1796.55,1758.63,1811.94
Ryr3,761.232,868.63,812.292,884.3,650.251,584.014,556.325
Camsap1,2059.82,1051.78,2008.57,1409.03,1463.85,1568.76,1986.93
Lzts3,685.852,856.597,528.028,646.89,436.04,421.642,270.342
Tprn,216.639,166.583,168.132,194.866,156.954,139.51,136.541
Kiaa1429,981.236,1002.11,1025.78,1161.62,903.791,907.697,810.115
Sdccag3,121.302,123.633,106.595,126.887,88.0043,70.7561,77.5786
Man1b1,911.936,786.613,842.504,844.055,715.818,721.179,889.613
Pnpla7,261.547,170.941,278.088,194.565,346.342,385.473,725.299
Map7d1,2385.34,2057.11,2314.2,1838.67,1576.69,1649.14,1189.61
Fggy,293.101,331.1,285.608,352.49,474.825,434.775,396.128
Dpy19l4,304.488,92.7988,315.873,176.046,273.824,320.024,323.796
Pnisr,405.719,491.614,414.558,486.761,415.848,379.66,274.864
Dcaf10,295.432,321.631,287.997,319.601,256.672,254.816,191.323
Focad,1318.63,1401.2,1484.54,1546.12,1463.34,1351.89,1251.02
Ttc30a2,298.332,287.415,391.757,391.343,359.801,330.51,387.02
Setx,620.781,425.739,663.956,516.992,498.222,523.825,528.33
Dnajc25,966.697,303.119,1096.32,495.935,850.586,910.598,934.132
Cntln,228.488,241.805,253.397,246.095,288.199,294.804,155.513
Murc,819.665,772.701,1155.19,946.842,1187.01,1259.77,911.072
Ubr4,12579.9,11328.3,10520.7,9839.13,11618.2,11925.7,10158.6
Tpx2,4168.57,3786.69,3851.29,3427.46,4046.9,4389.54,4412.59
Ndufaf5,504.795,603.79,507.283,505.435,494.754,533.473,525.941
Rtf1,1346.78,1605.86,1430.57,1745.92,1341.5,1267.2,1258.19
Myh7b,1291.21,982.354,703.84,635.737,520.951,674.788,554.721
Ppig,1065.67,1200.49,1166.96,1209.5,964.029,940.922,1101.02
Fsip2,418.997,428.769,398.725,470.137,439.92,348.61,373.051
Ttn,13989.8,6601.55,8074.81,5593.96,2744.48,2404.64,3859.98
Klhl41,2038.71,2118.75,1286.21,1257.61,554.859,532.545,557.581
Cep152,363.014,388.841,302.473,328.842,252.177,233.566,225.391
Slc43a3,42.8175,52.5033,50.1677,58.8306,52.8479,50.3277,51.4222
Rabgap1,3968.9,4631.45,3818.79,4331.62,3942.48,3723.37,4074.23
Mga,32.644,29.9148,38.591,33.9432,44.3071,39.7085,42.0159
Arhgef10l,617.247,638.121,805.453,833.524,441.238,437.673,354.407
Mocs3,408.974,426.236,442.72,487.966,410.832,410.714,651.208
Las1l,3563.91,3135.38,3139.45,3200.44,2821.4,2481.52,2839.51
