	log2fc	p-adj
arginine	-5.935816934	2.52926E-11
ascorbate	3.517269422	2.00401E-09
choline	2.385570859	1.73171E-08
DHAP	2.959691924	2.46806E-08
o_phosphoethanolamine	3.629255727	3.21383E-08
cytidine	1.329954132	1.50447E-07
xanthine	1.075151376	1.76394E-07
glutamate	3.709303295	3.86926E-07
thiamine	1.562388699	4.7227E-07
gamma_glutamyl_alanine	-2.485949568	1.05486E-06
acetylglycine	-1.510062664	2.30679E-06
glycine	1.55674111	3.71532E-06
aspartate	3.174432628	4.11549E-06
niacinamide	2.476153169	1.31943E-05
phosphoserine	-6.40685E-16	1.47849E-05
uracil	3.72575393	1.59983E-05
pyruvate	-1.894468616	1.70146E-05
hypoxanthine	1.988506132	1.87552E-05
tryptophan	-1.407254493	2.16891E-05
glucose_1_phosphate_fructose 6 phosphate	4.103544732	3.57569E-05
gssg	2.837477422	3.93483E-05
indolelactate	-2.137049961	4.21421E-05
methylthioadenosine	1.92526531	4.60119E-05
glycerophosphocholine	3.804530677	5.31467E-05
taurine	0.99884772	6.56118E-05
malate	1.977007529	6.93732E-05
glucose_6_phosphate	4.121425892	7.55171E-05
pyridoxal	-1.179598144	9.17961E-05
phosphocholine	4.331173206	9.53332E-05
serine	1.259346846	0.000115166
sarcosine	-3.117560869	0.000146296
ribose_5_phosphate	3.07260895	0.000182166
UDP_GlcNAc	4.059118938	0.000384365
cis_aconitate	-1.008911445	0.000403547
CDP_choline	3.268719806	0.000433751
inosine	2.304035038	0.000503417
UMP	4.873966008	0.000546113
CMP	5.283967416	0.000613736
lysine	-0.802074247	0.000800819
hypotaurine	1.873765403	0.001055922
3_phosphoglycerate	3.969832992	0.001161252
uridine	1.774461862	0.001379585
phosphocreatine	2.29840877	0.001483863
glycerol_3_phosphate	1.323943531	0.001831394
argininosuccinate	2.701284504	0.002034366
UDP_glucose	2.898965085	0.002165455
trimethyllysine	-0.68161701	0.003107847
GMP	3.804994389	0.003186604
2-oxoglutarate	-0.818655023	0.003742793
cystine	-0.916035422	0.003887734
glucose	-0.926852982	0.005035634
kynurenine	-1.208292341	0.005242375
PEP	3.735446998	0.005468291
2_aminobutyrate	-0.74247094	0.006364174
acetylaspartate	-1.833312617	0.006595931
allantoin	-0.740992549	0.007125516
formyl_methionine	-0.500130421	0.008584296
guanidinoacetate	1.777224602	0.011298123
thymidine	-0.917675624	0.011597923
riboflavin	0.966049928	0.012188054
picolinate	-0.954200673	0.013871221
3 methyl 2 oxopentanoic acid	-0.818275971	0.014138239
carnosine	1.267348588	0.018432837
methionine	-0.831948472	0.019258194
glycerate	1.358902317	0.01983393
succinate	-0.971079451	0.022774669
tyrosine	-0.637449286	0.023629536
fumarate	5.821486395	0.02414968
ornithine	0.691407995	0.025542922
methionine_sulfoxide	-0.554075714	0.027859571
betaine	0.713734454	0.029170692
3_hydroxyisobutyric_acid	-0.628415307	0.030902437
beta_alanine	3.399116104	0.033915048
pantothenate	-0.473278669	0.034564865
valine	-0.416664807	0.036838781
alanine	0.405239701	0.046086241
carnitine	0.306957938	0.047666283
itaconate	-0.90611862	0.054376115
pyridoxine	-3.051510342	0.057811709
lactate	-0.477983099	0.059248894
asparagine	0.360693898	0.062680824
acetylmethionine	#NUM!	0.066793051
sorbitol	0.799055012	0.072328172
proline	0.389814444	0.074107306
"fructose_1,6_bisphosphate"	#DIV/0!	0.080950768
phenylalanine	-0.299988404	0.087969529
3_hydroxybutyrate	-0.755541566	0.093259573
asymmetric_dimethylarginine	-0.542304392	0.096903444
biotin	0.45700204	0.102800101
cystathionine	0.805659398	0.104923656
carbamoylaspartate	-1.950834911	0.107193524
orotate	-0.4570871	0.117158894
cysteic_acid	-0.704273325	0.132853795
N6_acetyllysine	-0.339342128	0.144100273
citrulline	-0.301333955	0.147444903
gsh	1.570303948	0.156164383
AMP	0.752410381	0.164149968
trans_urocanate	-0.778679395	0.166420901
IMP	-2.52791829	0.182550717
threonine	-0.327120993	0.191790479
mannose	0.758466622	0.210407429
isoleucine	-0.251141686	0.22006727
3 methyl 2 oxobutyrate	0.35208088	0.223088983
gaba	3.594698402	0.249121871
cys_gly	0.952853542	0.316226206
citrate	-0.268424554	0.3210255
homocitrulline	-0.36258074	0.339932328
aminoadipate	0.264582175	0.357855616
SAH	-0.902608032	0.391184065
pipecolate	0.225845096	0.416746554
2-hydroxyglutarate	0.153792562	0.522036514
2-oxobutyrate	-0.222195401	0.536850337
creatinine	-0.146106094	0.621637662
acetylglutamine	0.227050399	0.678533973
phenylacetylglutamine	0.463549092	0.686945699
acetylglutamate	0.172958649	0.739559618
p_aminobenzoate	-0.114158252	0.763023801
glutamine	-0.049782444	0.796877659
leucine	-0.048188317	0.809026009
deoxycytidine	0.047783666	0.838402303
histidine	0.01542377	0.934483923
acetylcarnitine	0.008144402	0.956566827
