	log2FC	p
 D-Glucose	-2.007376977	0.072386269
 Glucose 6-phosphate	-2.121090398	0.006303155
 Fructose-6-phosphate 	-2.387632022	0.006424432
" fructose-1,6-diphosphate"	-3.033100556	0.053699502
 3-Phosphoglyceric acid 	-1.559344895	0.101857808
 Phosphoenolpyruvate 	-3.325861818	0.007199957
 Pyruvic acid 	-1.326394098	0.166134903
 L-Lactic acid 	0.928262288	0.005338019
 Citric acid 	-3.651410871	0.0003209
 cis-Aconitic acid	0.088305077	0.947992923
 Isocitric acid 	-0.259160163	0.587078228
 Succinic acid 	-0.25975362	0.363543219
 Fumaric acid 	0.270094918	0.409816707
 D-Malic acid 	0.259735238	0.525721153
 D-Ribose-5-phosphate	-0.075753536	0.813668899
 Glycine 	2.282921919	7.50364E-07
 L-Alanine	1.292836645	7.90097E-06
 L-Valine	1.789300839	0.013514327
 L-Leucine	0.688867621	0.106766306
 L-Isoleucine	0.647913951	0.017328705
 L-Proline	-1.261435951	0.031683772
 L-Phenylalanine	0.078153038	0.677560384
 L-Tyrosine	-1.430879087	0.274802803
 L-Tyrosine	-0.605025184	0.122910998
 L-Serine	-0.667214651	0.036178287
 L-Threonine	-0.902195407	0.018754074
 L-Methionine	0.064831736	0.807372535
 L-Asparagine	-0.125869535	0.936295485
 Glutamine	-3.40598454	0.129218731
 L-Aspartic acid	0.581505803	0.042666442
 L-Glutamic acid	-2.385490491	0.003233722
 L-Lysine	-2.473716315	0.003541344
 Pyroglutamic acid 	-1.5653154	0.00044017
 Ornithine 	-6.537512029	0.000278828
 Beta-Alanine 	-0.475152002	0.180578208
 L-Threonine	0.222089206	0.613508047
 Iminodiacetic acid	-0.008519039	0.983330572
 4-Hydroxyproline	-0.949271266	0.057252181
 D-Fructose	-2.611958068	0.014116642
 D-Mannose	-0.96296232	0.104859125
 Sorbitol 	-1.431015075	0.027207731
 Ribitol 	-0.686051307	0.17789599
 Myoinositol 	-0.41968632	0.044879773
 Inositol phosphate	-0.78175275	0.101115086
 Sedoheptulose 7-phosphate 	-1.07393396	0.023955453
 alpha-D-Glucosamine 1-phosphate 	-5.605802396	5.45339E-05
 Galactonic acid	-0.429233809	0.256651823
 Cellobiose	-0.762413447	0.334645822
 L-Sorbose	-0.247340109	0.432539906
 D-Threitol 	-1.629188562	0.11159906
 Threonic acid 	0.9351843	0.001644783
 Nonanoic acid 	-0.189312453	0.579145282
 Capric acid 	0.445666524	0.256638125
 Myristic acid 	-1.691037616	0.000101169
 Palmitoleic acid 	-0.081260859	0.86139993
 Palmitic acid 	-1.120896323	0.053263457
 Linoleic acid 	0.341840813	0.632584951
 Oleic acid 	-0.219741609	0.631938106
 Elaidic acid 	-0.645277506	0.247539822
 Stearic acid 	-1.800630093	0.019689437
 Arachidic acid 	-1.28914952	0.018173189
 Arachidonic Acid	-0.196985326	0.83924594
 Malonic acid	0.130919478	0.845250839
 Unknown acid 	-0.985920826	0.298948097
 Heptadecanoic acid 	-1.860874409	0.350594476
 1-Monomyristin	-0.364807488	0.352960065
 2-Monopalmitoylglycerol	-2.051198262	0.096903673
 1-Palmitoylglycerol	-0.459976272	0.277180675
 2-Steroylglycerol	-1.57698289	0.542600362
 1-Steroylglycerol 	-0.581974275	0.125396861
 Glycerol 	-0.328032618	0.475398902
 Glycerol 3-phosphate 	-1.387180354	0.000806615
 Beta-Glycerophosphoric acid 	1.649790422	0.53086935
 O-Phosphoethanolamine 	-1.249233813	0.02505444
 Ethanolamine 	-1.077594355	0.033376685
 Phosphate 	-0.457819983	0.113419637
 Pyrophosphate 	-3.718125371	0.131564571
 Hypoxanthine	-1.944606316	0.024274054
 Adenosine 	-2.432155395	0.171491797
 Inosine 	-1.339607625	0.050482515
 Adenine 	-2.203009878	8.74187E-05
 Thymine 	-0.203376585	0.463859523
 Adenosine monophosphate	-1.872429297	0.031589796
 Inosine 5'-monophosphate 	-2.84122644	0.030335112
 Urea 	-3.352481723	3.99903E-05
 Glutathione 	-3.447576063	0.215594414
 L-Ascorbic acid 	-2.053623938	0.022678875
 Allantoin	1.41143906	0.280532778
 2-Hydroxyglutaric acid	0.941468416	0.171961672
 2-Hydroxybutyric acid 	0.009083886	0.985876013
 Glycolic acid 	-0.187114247	0.270186653
 Putrescine 	-1.957931794	0.002737931
 Xanthurenic acid 	0.026249977	0.941777236
" 1,6-anhydro-Glucose "	-0.370402325	0.175729124
 1-Octadecene 	-0.479069226	0.148974652
 2-Ketoisocaproic acid	-0.697632267	0.151325852
 Adipic acid 	0.126147562	0.689873386
 Azelaic acid 	-0.579689604	0.089873226
 Benzoic acid 	-0.27358016	0.327181565
 Beta-Hydroxyisovaleric acid	-1.494266358	0.007584246
 Cystathionine 	-1.983211236	0.01929916
 Eicosane 	-0.372721082	0.57408214
 Ergosterol 	0.716367521	0.407614058
 Ethanolamine	0.069147789	0.805369817
 Glutamic acid 	-0.50585221	0.270262575
 Glyoxylic acid 	-0.120534753	0.560711945
 Guanine	-3.273070507	0.093090144
 Heptanoic acid	0.324128359	0.495299383
 Homoserine	-2.111355231	0.032694817
 Lanosterol	-2.126395924	0.004713012
 Lauric Acid 	0.014866004	0.945913314
 L-Gulonic acid gamma-lactone 	-1.741655662	0.133704397
 methyl-beta-D-Galactopyranoside 	-4.285289341	0.014256298
 Methylmalonic acid 	1.393379481	0.000163569
 N-acetyl-L-aspartic acid 1	-1.106262873	0.235342731
 N-acetyl-Lysine	-3.379466002	0.212117927
 Nicotinamide	0.114123479	0.70407996
 Nitrous Oxide 	-0.239497795	0.624316603
 Orotic acid	-4.284137244	7.11374E-05
 Phosphatidyl Glycerol	-3.629972546	0.021531221
 Pyrrolidonecarboxylic acid	-1.38088525	0.016168973
 Ribonic acid-gamma-lactone	-0.925600741	0.006586372
 Sophorose	-1.335322098	0.359251807
 Sucrose 	-1.143339795	0.095644343
 Trehalose 	-2.001569881	0.071400124
 Turanose	-2.71297743	0.000380503
 Uracil 	0.569890507	0.017411746
