	000min_log2FC	000min_p	015min_log2FC	015min_p	030min_log2FC	030min_p	060min_log2FC	060min_p	180min_log2FC	180min_p
 D-Glucose	-1.212184779	0.042921185	1.53766345	0.134765548	-1.153392853	0.204149947	-2.007376977	0.072386269	1.258626346	0.227169254
 Glucose 6-phosphate	-0.14987541	0.557913076	-0.497647756	0.263242021	-0.15191735	0.758202913	-2.121090398	0.006303155	-0.463154156	0.245316882
 Fructose-6-phosphate 	0.187465355	0.581672077	-0.975317718	0.037487081	-0.104703812	0.853928203	-2.387632022	0.006424432	-0.189511051	0.690378035
" fructose-1,6-diphosphate"	-0.225557267	0.627596723	-0.576382163	0.243981558	-0.678747253	0.467731494	-3.033100556	0.053699502	0.939957237	0.240730979
 3-Phosphoglyceric acid 	-1.119676775	0.001194118	-1.67109428	0.033769351	-0.645396824	0.302028702	-1.559344895	0.101857808	-1.121284236	0.120145766
 Phosphoenolpyruvate 	-0.763107235	0.040284035	-1.019296852	0.137091025	-1.296234656	0.028700626	-3.325861818	0.007199957	-1.064306883	0.034629561
 Pyruvic acid 	-1.091087055	0.000466752	-0.515642749	0.506055901	-0.655356778	0.014176176	-1.326394098	0.166134903	-0.28298456	0.466886022
 L-Lactic acid 	-0.467199485	0.304181277	0.417014075	0.089489001	0.134197827	0.638473171	0.928262288	0.005338019	0.285194307	0.539996355
 Citric acid 	0.183446037	0.512611926	-1.753735688	0.009216426	-2.75307102	0.000464491	-3.651410871	0.0003209	-2.856939802	0.000536467
 cis-Aconitic acid	-0.246479185	0.766657242	0.18960545	0.895403067	0.743625974	0.640569503	0.088305077	0.947992923	-2.278239425	0.212792819
 Isocitric acid 	0.658466951	0.169910648	-0.700641654	0.082686721	-1.378411079	0.000934911	-0.259160163	0.587078228	0.509005348	0.324561756
 Succinic acid 	-0.058933589	0.704727092	0.057902876	0.747127717	-0.247716174	0.250339276	-0.25975362	0.363543219	0.073554412	0.787593014
 Fumaric acid 	2.588709849	1.46E-06	1.003675362	5.14E-05	0.523905962	0.009817395	0.270094918	0.409816707	1.346106304	0.000109226
 D-Malic acid 	2.728950429	2.17E-08	2.606714394	4.72E-06	1.25026886	0.00106924	0.259735238	0.525721153	1.672830358	0.000774061
 D-Ribose-5-phosphate	0.284228313	0.558587749	-0.818661913	0.000970366	0.09872187	0.739941925	-0.075753536	0.813668899	0.427998341	0.498688346
 Glycine 	2.002589931	0.000118873	2.579773967	5.29E-09	2.531408402	2.01E-07	2.282921919	7.50E-07	2.030915588	5.03E-05
 L-Alanine	2.322251455	2.52E-10	0.778040189	3.31E-05	0.671823862	0.003249119	1.292836645	7.90E-06	4.075082701	7.85E-05
 L-Valine	1.236272279	0.003325252	0.446689955	0.004464117	0.381666302	0.375313483	1.789300839	0.013514327	2.126880439	6.59E-05
 L-Leucine	-0.715091796	0.056301446	-0.072617733	0.727692219	0.104562612	0.840108052	0.688867621	0.106766306	0.54212959	0.209136544
 L-Isoleucine	1.063415577	0.005659136	0.389173451	0.014369253	-0.140631404	0.677592921	0.647913951	0.017328705	1.732591022	0.003381059
 L-Proline	-0.380087047	0.067295958	-0.045521336	0.835242929	-0.306220136	0.522962681	-1.261435951	0.031683772	-0.357643803	0.361907411
 L-Phenylalanine	-0.56267113	0.062107823	-1.375309629	0.003123336	-1.291059145	0.000725069	0.078153038	0.677560384	-0.327316988	0.257278022
 L-Tyrosine	-1.092758572	0.210841034	-1.378420855	0.072235356	-2.409118943	0.198257969	-1.430879087	0.274802803	-0.221467658	0.712487102
 L-Tyrosine	-2.309293197	0.001048444	-2.963225045	0.000918537	-1.727953337	0.009261609	-0.605025184	0.122910998	-2.159174086	0.016031348
 L-Serine	-0.083889037	0.622458504	-0.957157697	0.000965899	-1.586381622	0.002068238	-0.667214651	0.036178287	-0.522671905	0.09142852
 L-Threonine	-0.928191558	0.12496416	-1.243882721	0.00340378	-0.912029208	0.061126737	-0.902195407	0.018754074	-1.100012366	0.026634483
 L-Methionine	0.32951015	0.410078424	0.085340985	0.747771416	0.027651854	0.913699899	0.064831736	0.807372535	-0.23160971	0.216742617
 L-Asparagine	-0.599920991	0.148421231	-0.214872775	0.814906578	1.527956789	0.291199426	-0.125869535	0.936295485	3.98188367	0.079388774
 Glutamine	-0.937262431	0.207661801	-2.261819034	0.018979826	-3.606143465	0.069617291	-3.40598454	0.129218731	-0.752484665	0.374555914
 L-Aspartic acid	0.850815348	0.027771358	-1.826463747	0.001796015	-0.905720556	0.073578166	0.581505803	0.042666442	0.935973888	0.059698071
 L-Glutamic acid	-0.626056458	0.280118024	-2.579003958	0.003584769	-1.847474531	0.006176247	-2.385490491	0.003233722	-1.37942861	0.017035837
 L-Lysine	-2.473820035	0.007301469	-5.331116718	0.008862086	-2.339682058	0.009792747	-2.473716315	0.003541344	-2.42584476	0.004273264
 Pyroglutamic acid 	-0.468973056	0.002419385	-0.609157416	0.000472636	-1.286888787	0.002127112	-1.5653154	0.00044017	-0.362456586	0.131484124
 Ornithine 	-6.562107439	0.007354283	-8.078420621	0.004731002	-6.167752811	0.003717814	-6.537512029	0.000278828	-6.245200352	0.005128027
 Beta-Alanine 	-0.474984091	0.070353795	-0.380824072	0.135693368	-0.726440317	0.031048917	-0.475152002	0.180578208	0.010977072	0.956488687
 L-Threonine	0.167947011	0.413834579	-0.928547049	0.000498563	-0.707271636	0.254417667	0.222089206	0.613508047	0.143620148	0.602771927
 Iminodiacetic acid	-1.423809576	0.009813366	-0.223001826	0.592630427	-0.754197941	0.073579226	-0.008519039	0.983330572	-0.772120875	0.284147436
