	000min_mct1_lfc	000min_mct1_bh	015min_mct1_lfc	015min_mct1_bh	030min_mct1_lfc	030min_mct1_bh	060min_mct1_lfc	060min_mct1_bh	180min_mct1_lfc	180min_mct1_bh
1-Monomyristin	-0.390843369	0.096478819	-0.245554491	0.231152855	-0.745538558	0.004929638	-0.364807488	0.255393868	0.079879953	0.59791704
1-Octadecene	-0.926886848	0.034194962	-0.687895498	0.016784419	-1.036396742	0.000122914	-0.479069226	0.08235997	-0.087137457	0.169910271
1-Palmitoylglycerol	-1.302009572	0.002625466	-0.095056527	0.553683526	-0.94052957	0.002409874	-0.459976272	0.187040618	-0.324755626	0.192603288
1-Steroylglycerol	-1.056584877	0.004787513	-0.376791993	0.010118703	-0.839364953	0.000678339	-0.581974275	0.065247147	0.023399362	0.471027358
"1,6-anhydro-Glucose"	0.1649257	0.395859315	0.339037411	0.055941447	-0.213141941	0.353904328	-0.370402325	0.104294521	0.72941559	0.209014729
2-Hydroxybutyric acid	-0.666106189	0.066506742	0.132051179	0.589944898	-0.460757379	0.316463909	0.009083886	0.985876013	1.286051188	0.212067981
2-Hydroxyglutaric acid	2.388661515	0.000530461	3.246433625	0.000229123	1.945957464	0.043051872	0.941468416	0.100660491	2.433352138	0.01234543
2-Ketoisocaproic acid	-1.146505228	0.039815731	0.459213272	0.154673513	-0.74877351	0.078013676	-0.697632267	0.084890112	0.879216307	0.340641648
2-Monopalmitoylglycerol	0.601364365	0.2739098	-1.380296342	0.222854024	2.04492709	0.049043002	-2.051198262	0.044118746	0.439476107	0.786486847
2-Steroylglycerol	-1.039360446	0.120792246	-0.046655469	0.977749481	-3.119618622	0.163529705	-1.57698289	0.441138506	0.008838073	0.728200325
3-Phosphoglyceric acid	-1.119676775	0.000116499	-1.67109428	0.012080093	-0.645396824	0.213630058	-1.559344895	0.048030511	-0.85824983	0.035164614
4-Hydroxyproline	-0.880296893	0.02053233	-0.093071097	0.513671603	-0.720983491	0.019115878	-0.949271266	0.023273244	0.056555294	0.581794533
Adenine	-1.898401034	9.45988E-06	-1.366494784	8.62024E-06	-1.270148943	0.003819826	-2.203009878	4.26433E-06	-1.341735936	0.006864855
Adenosine	-0.07449742	0.803036928	-0.745299971	0.507984022	-0.50883448	0.052216195	-2.432155395	0.0989912	0.736395815	0.501743613
