	000min_oar1_lfc	000min_oar1_bh	015min_oar1_lfc	015min_oar1_bh	030min_oar1_lfc	030min_oar1_bh	060min_oar1_lfc	060min_oar1_bh	180min_oar1_lfc	180min_oar1_bh
1-Monomyristin	-0.111529771	0.588714153	-0.283901556	0.094893906	-0.501002808	0.079160957	0.006451317	0.976448087	0.090839438	0.546929425
1-Octadecene	-0.870268755	0.035742523	-0.528756938	0.052895819	-0.559996687	0.042901426	-0.146898635	0.499481769	-0.578123637	0.005192081
1-Palmitoylglycerol	-1.146198101	0.002806489	-0.393567726	0.028418784	-0.596932226	0.067614014	-0.023190278	0.934933956	-0.318779875	0.177518946
1-Steroylglycerol	-0.550269517	0.059107395	-0.485030316	0.001337774	-0.487046747	0.063254877	-0.234915381	0.371580794	-0.018863329	0.339699125
"1,6-anhydro-Glucose"	0.484694164	0.094123423	0.066226828	0.641347827	-0.199488859	0.412950434	-0.342668162	0.200578981	0.435412575	0.374494161
2-Hydroxybutyric acid	-0.654346057	0.064942701	-0.465902416	0.054881345	-0.190166171	0.579876432	0.04305979	0.896094483	0.868810185	0.258177014
2-Hydroxyglutaric acid	2.506310781	0.000166711	2.291277642	2.30117E-05	1.509579529	0.037593297	1.210028482	0.13592965	2.398881957	0.000363692
2-Ketoisocaproic acid	-1.200955466	0.028695771	-0.289536935	0.28563373	-0.122454182	0.659779365	-0.666377428	0.03878777	0.450852869	0.625466758
2-Monopalmitoylglycerol	1.238851654	0.142018487	-1.208296717	0.301728212	2.572768073	0.046519976	0.066836358	0.919394978	0.301613903	0.94807036
2-Steroylglycerol	-0.67611841	0.200819294	0.686050628	0.419651536	-0.484595647	0.636704009	2.295606219	0.142080002	-0.072218062	0.638372855
3-Phosphoglyceric acid	-0.949858399	0.000137886	-2.082999735	0.005576011	-0.826134609	0.095692746	-1.961764564	0.026637789	-0.897690225	0.033154759
4-Hydroxyproline	-0.88103544	0.018407122	-0.715893624	0.002175755	-0.122842268	0.667122539	0.054877362	0.850358458	0.079981081	0.575858065
Adenine	-0.227098325	0.375158025	-0.984104478	0.000133264	-1.553214624	0.001073137	-1.640064647	1.39142E-05	-0.987939477	0.031155937
Adenosine	-0.269792768	0.33271033	-1.758055759	0.240197016	-0.413932985	0.044630704	-0.633841678	0.485234521	-0.292405353	0.164687099
Adenosine monophosphate	0.740533832	0.073671433	-0.729019905	0.044850848	-0.71597237	0.101460543	-1.209307111	0.033317792	1.183847543	0.215048189
Adipic acid	-0.242082117	0.290251609	-0.477700558	0.234351899	-0.323237001	0.269195926	0.106936824	0.634307996	0.217104541	0.907677972
Allantoin	-0.339584205	0.646328323	0.277327051	0.628157617	0.641476802	0.406062033	0.093801753	0.910886638	-0.909258079	0.111842437
alpha-D-Glucosamine 1-phosphate	-4.789183422	0.000297221	-5.515792007	1.08056E-05	-3.485113537	6.27208E-05	-5.472918577	1.80779E-06	-3.343752268	0.003472504
Arachidic acid	-0.714078726	0.122491071	-1.032500811	0.007939486	-1.373707966	0.001502	-0.615339345	0.078454304	0.167262373	0.658567791
Arachidonic Acid	-0.051467242	0.946957031	-0.976080985	0.276614391	0.043141834	0.925841915	-1.307291929	0.167828307	-1.807201982	0.150756439
Azelaic acid	-1.212669988	0.000801595	-0.944594976	0.004222728	-0.438136788	0.132527661	-0.279368938	0.250122826	-0.092592351	0.093158105
Benzoic acid	-0.552175461	0.11031918	-0.24954848	0.195870767	-0.107152744	0.62301479	0.186565415	0.543081243	0.027438949	0.55238261
Beta-Alanine	-0.022660551	0.889092078	-0.583721165	0.007363698	-0.547399274	0.057272553	-0.481906458	0.068914476	0.082122061	0.075094541
Beta-Glycerophosphoric acid	-0.468879591	0.343158814	-0.492674049	0.473004683	0	0.194004222	1.208900492	0.519042192	-1.045355098	0.218722414
Beta-Hydroxyisovaleric acid	-0.047888007	0.901910551	-0.102403222	0.706119923	-0.406269133	0.098903996	-0.863743925	0.040220615	0.17521294	0.878064096
Capric acid	1.186004963	0.057309098	-0.195832868	0.439208448	-0.114838154	0.613660994	0.420963974	0.124582018	0.149140555	0.742454134
Cellobiose	-0.973622921	0.135100072	-1.913044553	0.223743995	-0.238935402	0.678917586	-1.187006551	0.096351681	1.069484987	0.531897586
cis-Aconitic acid	-0.478272803	0.568422761	1.015313373	0.201458078	2.491598789	0.034862209	1.693352074	0.175036885	-0.281919883	0.524137421
Citric acid	0.099772833	0.754468049	-2.458358917	0.000663141	-2.231045802	8.55548E-05	-3.858562557	2.51185E-05	-3.011101135	2.19835E-05
Cystathionine	0.502093387	0.516609824	-0.167150671	0.806567708	-0.697737468	0.143279396	-2.1830284	0.004529255	-0.644220979	0.369067822
D-Fructose	0.107769833	0.577646005	0.014987764	0.946835158	-0.174927952	0.737127054	-2.822727698	0.003392609	-0.266074986	0.172085266
D-Glucose	-1.074782503	0.022015732	-0.221627526	0.735352923	-0.626929651	0.340950439	-1.89129466	0.028979002	0.417676109	0.785884357
D-Malic acid	2.488517822	1.07375E-05	1.703368578	0.000326979	1.123130582	0.013650505	0.483718471	0.190321717	1.875480023	0.000279863
D-Mannose	0.553918597	0.014109916	0.25292512	0.327001286	0.0958359	0.776297891	-1.191436164	0.025649018	-0.023157038	0.486547078
D-Ribose-5-phosphate	0.043555447	0.909737021	-1.226364307	8.51751E-07	-0.263089084	0.286598743	-0.495680618	0.090427044	0.130580366	0.6755836
D-Threitol	-0.286961634	0.027962046	-0.580372066	0.034122164	0.008079366	0.960398448	-1.095821757	0.131873628	0.522600643	0.344149597
Eicosane	-1.206221448	0.007198573	-0.458419382	0.130625662	-1.107817307	0.041449215	0.478704488	0.322384293	0.013349466	0.592558466
Elaidic acid	-1.012002147	0.091686281	-0.425395522	0.216612307	-1.051915004	0.007945793	-0.104849294	0.783211018	-0.431993084	0.059416635
Ergosterol	-0.440285335	0.511470597	-0.991959188	0.126454914	-0.179901854	0.714538888	1.081983039	0.057251946	0.153195602	0.862839865
Ethanolamine	-1.258506284	0.012472365	-0.411972401	0.106076342	-0.230199501	0.450746103	0.305779328	0.605147397	-0.458439779	0.192985819
Ethanolamine	-0.50882027	0.086781201	-0.068436433	0.616650153	-0.175426788	0.420169658	0.269728654	0.467211263	-0.313954706	0.161237585
"fructose-1,6-diphosphate"	0.971414674	0.041565323	-1.2749465	0.014077203	-0.424436669	0.510106171	-4.154918741	0.011938739	0.558157492	0.774516468
Fructose-6-phosphate	0.66386109	0.159786129	-1.548702407	0.002646515	-0.30859415	0.490454327	-2.92312207	0.000739126	-0.488382891	0.046030435
Fumaric acid	2.481641293	9.78783E-08	0.580097413	0.073540573	0.641028475	0.000216777	0.483753036	0.045817239	1.61252471	0.000147505
Galactonic acid	-0.015849308	0.964584345	-0.712332502	0.011716491	-0.835054172	0.049827936	-0.124479826	0.620742602	0.295621553	0.933838895
Glucose 6-phosphate	0.139473463	0.622578261	-1.357908427	0.014791776	-0.392847218	0.359861282	-2.449299045	0.000874026	-0.739370225	0.003806596
Glutamine	-0.992215773	0.096495337	-2.86568426	0.003002197	-3.762961747	0.019262018	-2.394876381	0.088629974	-0.978931241	0.065935393
Glutathione	-0.424683501	0.395668695	-1.24619141	0.082145082	-1.228321706	0.085428504	-3.179016099	0.129703981	1.41168773	0.311693441
