	log2fc	bh_corrected
YHR033W	-1.596147622	0.000246142
GEP7	-1.382716747	0.001023807
PSD1	-0.643557247	0.000740985
MET17	6.330158287	0.001617081
MTG1	-1.352435741	0.001419444
COX13	-3.120406049	0.001311533
BI2	-3.409785565	0.001227031
YJR149W	-1.479318109	0.001217647
YDR379C-A	-3.64576622	0.001273183
QCR7	-2.943679233	0.001202417
MRPS5	-1.572781576	0.001592077
DIC1	2.145028459	0.001479136
COX1	-3.378118682	0.001399668
STE6	-4.559405182	0.001385151
FCJ1	-1.463596656	0.001332264
ACH1	-2.742380359	0.001384238
MRPS35	-1.319190615	0.00135821
FYV4	-1.769850598	0.00129405
MRPL49	-1.084377084	0.00150884
COX4	-2.43386103	0.001461467
YNL134C	-1.724985804	0.001417351
IRC19	-1.800288048	0.001585805
CAB1	0.503716889	0.001536675
SNZ3	-1.926627091	0.001849769
YBR230W-A	-0.928145231	0.001812521
DLD3	2.737650819	0.001806456
YCR061W	0.961473877	0.001814689
DOT6	-1.012928048	0.001786772
YPR011C	-1.015058973	0.001768753
AI1	-2.111282303	0.00173636
CPR8	-0.662705929	0.001681769
MEF2	-1.333242689	0.001650386
SEE1	-0.532998906	0.001636804
AMD2	-2.414025255	0.001592734
PET123	-1.225878172	0.001592601
TPO4	-2.60686707	0.001601694
SDH1	-2.128803615	0.00157198
NAM9	-1.044254836	0.001560016
CLD1	-1.598521433	0.001595497
YDL027C	-1.35452051	0.001590233
SDH4	-2.805884902	0.001560616
ATP17	-2.473066326	0.00162976
MRP17	-1.038525239	0.001604554
AIM11	-0.707080769	0.001615765
MSS2	-0.255332021	0.001640917
QCR10	-3.172208253	0.001626586
SOR2	1.227974637	0.001595527
YPL107W	-1.570194763	0.001601758
PEX11	0.80172994	0.001629484
COX8	-3.003402163	0.001695378
STE3	2.868452693	0.001680293
ATO2	1.964374899	0.001676538
LEU1	-1.647075997	0.001702652
FAS1	-0.54360468	0.001737287
MMP1	0.76839665	0.001706348
DCI1	1.27546965	0.001771833
GDH3	-1.308937727	0.001748647
AEP1	-1.148575723	0.00177039
COX5A	-2.900544309	0.001814522
CYT1	-1.881464531	0.001821965
CIT2	3.257590343	0.001801005
KGD1	-1.908223973	0.001818097
AGC1	-1.082969362	0.001790828
RSM23	-1.328335651	0.001763413
AIM38	-1.199719294	0.001806493
ADH2	1.621291728	0.001824309
YJR003C	-0.603303502	0.001812994
RSM28	-1.995914713	0.001839368
REE1	1.227787428	0.001821697
MCT1	-3.484957102	0.001812606
COX9	-2.609925951	0.001797282
GND1	-0.439639636	0.00177253
MRP51	-1.393998485	0.001763359
TDA9	-0.562759794	0.001763646
ATP19	-3.218204002	0.001798092
AI3	-2.187322139	0.001839978
NUC1	-0.629209199	0.001880473
ACS1	4.199229428	0.001860725
GTF1	-1.355069401	0.001852302
YLR108C	1.853772454	0.001867387
MRP4	-0.669125485	0.001862134
YMC1	-1.492621169	0.002026672
HTD2	-1.006362613	0.002008051
MRPL6	-0.817443779	0.001986582
ODC2	-2.070257406	0.001988808
BAT1	-1.061414509	0.002012111
OAC1	-2.109730411	0.002041444
MRP7	-0.492113826	0.002071188
PET8	-0.92097796	0.002151146
FKS1	-0.55119584	0.002141632
AHP1	1.525588693	0.002176824
BI4	-2.461793236	0.002289024
UBP13	0.480308846	0.002304075
UPS3	-0.988447934	0.002284495
YAT2	1.096609782	0.002338313
"ADE5,7"	0.5003519	0.002351456
GID7	0.481495894	0.002353828
DIP5	1.633018726	0.002378436
DSE4	0.793350241	0.00235534
AIM37	-1.258292686	0.002352196
RSM22	-1.033969586	0.002379062
PDH1	2.143451065	0.002357975
YGR235C	-1.097591464	0.002351702
MMS1	0.326917241	0.002360589
MTM1	-1.071873586	0.002413948
AIM33	-1.110623776	0.002431399
