	log2fc	p-adj
PSD1	-0.643557247	1e-10
COX13	-3.1204060489999996	9.36e-10
YDR379C-A	-3.64576622	1.8100000000000002e-09
COX1	-3.3781186819999998	3.84e-09
YHR033W	-1.596147622	7.82e-09
YDL027C	-1.35452051	1.72e-08
MRPS5	-1.572781576	2.4700000000000003e-08
ACH1	-2.7423803589999998	3.69e-08
IRC19	-1.800288048	4.98e-08
SNZ3	-1.9266270909999998	6.719999999999999e-08
MSS2	-0.255332021	7.61e-08
BI2	-3.409785565	8.32e-08
AI3	-2.187322139	9.720000000000001e-08
DOT6	-1.012928048	1.1e-07
SDH4	-2.805884902	1.33e-07
ADH2	1.621291728	1.41e-07
ATP17	-2.473066326	1.55e-07
YPL107W	-1.5701947630000002	1.66e-07
YJR149W	-1.479318109	1.8800000000000002e-07
MRPL6	-0.8174437790000001	2.1e-07
FYV4	-1.769850598	2.3800000000000001e-07
SEE1	-0.532998906	2.5399999999999997e-07
GID7	0.481495894	2.65e-07
FCJ1	-1.463596656	2.84e-07
HTD2	-1.006362613	3.1e-07
AIM33	-1.110623776	3.27e-07
YGR235C	-1.097591464	3.9e-07
FKS1	-0.55119584	4.5e-07
DSE4	0.793350241	4.96e-07
MMP1	0.76839665	5.13e-07
MRP7	-0.49211382600000003	5.38e-07
MRP51	-1.393998485	5.73e-07
ODC2	-2.070257406	6.06e-07
AHP1	1.5255886930000002	6.25e-07
MSW1	-1.081178448	7.35e-07
DIP5	1.633018726	7.7e-07
PET123	-1.225878172	8.51e-07
RSM23	-1.328335651	8.890000000000001e-07
GEP7	-1.382716747	9.23e-07
YJR003C	-0.603303502	1.02e-06
TAM41	-1.042905977	1.06e-06
IRC15	1.1283522670000001	1.31e-06
MRPL49	-1.084377084	1.39e-06
MSC6	-0.5630911129999999	1.45e-06
GTF1	-1.355069401	1.49e-06
COQ9	-1.255083957	1.58e-06
MET17	6.330158287000001	1.65e-06
PCL7	-0.7783417140000001	1.69e-06
YNL054W-B	-1.5056693859999999	1.72e-06
NUC1	-0.6292091989999999	1.77e-06
HST3	0.6712331109999999	1.82e-06
LEU1	-1.647075997	1.86e-06
MSS51	-1.348940935	1.94e-06
AI1	-2.1112823030000003	2.02e-06
RSM7	-0.859595949	2.08e-06
AIM11	-0.707080769	2.29e-06
MXR1	0.543147454	2.37e-06
PKP2	-0.7215758000000001	2.41e-06
PET112	-0.932408783	2.59e-06
CMC2	-1.0278172840000002	2.68e-06
YLR253W	-0.8510075490000001	2.74e-06
MRPL16	-1.109508218	2.99e-06
NAM9	-1.044254836	3.07e-06
YJR096W	0.634134935	3.23e-06
