Input name	Standardized name	In RefMet	Formula	Exact mass	Super class	Main class	 Sub class
D-Glucose	Glucose	Yes	C6H12O6	180.0634	Carbohydrates	Monosaccharides	Monosaccharides
Glucose 6-phosphate	Glucose 6-phosphate	Yes	C6H13O9P	260.0297	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Fructose-6-phosphate	Fructose 6-phosphate	Yes	C6H13O9P	260.0297	Carbohydrates	Monosaccharides	Monosaccharide phosphates
fructose-1,6-diphosphate	Fructose 1,6-bisphosphate	Yes	C6H14O12P2	339.9961	Carbohydrates	Monosaccharides	Monosaccharide phosphates
3-Phosphoglyceric acid	3-Phosphoglyceric acid	Yes	C3H7O7P	185.9929	Organic acids	Short-chain acids and derivatives	Short-chain acids and derivatives
Phosphoenolpyruvate	Phosphoenolpyruvic acid	Yes	C3H5O6P	167.9824	Organic acids	Short-chain acids and derivatives	Short-chain acids and derivatives
Pyruvic acid	Pyruvic acid	Yes	C3H4O3	88.0160	Organic acids	Short-chain acids and derivatives	Short-chain acids and derivatives
L-Lactic acid	Lactic acid	Yes	C3H6O3	90.0317	Organic acids	Short-chain acids and derivatives	Short-chain acids and derivatives
Citric acid	Citric acid	Yes	C6H8O7	192.0270	Organic acids	TCA acids	TCA acids
cis-Aconitic acid	cis-Aconitic acid	Yes	C6H6O6	174.0164	Organic acids	TCA acids	TCA acids
Isocitric acid	Isocitric acid	Yes	C6H8O7	192.0270	Organic acids	TCA acids	TCA acids
Succinic acid	Succinic acid	Yes	C4H6O4	118.0266	Organic acids	TCA acids	TCA acids
Fumaric acid	Fumaric acid	Yes	C4H4O4	116.0110	Organic acids	TCA acids	TCA acids
D-Malic acid	D-Malic acid	Yes	C4H6O5	134.0215	Organic acids	Hydroxy acids	Beta hydroxy acids
D-Ribose-5-phosphate	Ribose	Yes	C5H10O5	150.0528	Carbohydrates	Monosaccharides	Monosaccharides
Glycine	Glycine	Yes	C2H5NO2	75.0320	Organic acids	Amino acids and peptides	Amino acids
L-Alanine	Alanine	Yes	C3H7NO2	89.0477	Organic acids	Amino acids and peptides	Amino acids
L-Valine	Valine	Yes	C5H11NO2	117.0790	Organic acids	Amino acids and peptides	Amino acids
L-Leucine	Leucine	Yes	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids
L-Isoleucine	Isoleucine	Yes	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids
L-Proline	Proline	Yes	C5H9NO2	115.0633	Organic acids	Amino acids and peptides	Amino acids
L-Phenylalanine	Phenylalanine	Yes	C9H11NO2	165.0790	Organic acids	Amino acids and peptides	Amino acids
L-Tyrosine	Tyrosine	Yes	C9H11NO3	181.0739	Organic acids	Amino acids and peptides	Amino acids
L-Tyrosine	Tyrosine	Yes	C9H11NO3	181.0739	Organic acids	Amino acids and peptides	Amino acids
L-Serine	Serine	Yes	C3H7NO3	105.0426	Organic acids	Amino acids and peptides	Amino acids
L-Threonine	Threonine	Yes	C4H9NO3	119.0582	Organic acids	Amino acids and peptides	Amino acids
L-Methionine	Methionine	Yes	C5H11NO2S	149.0511	Organic acids	Amino acids and peptides	Amino acids
L-Asparagine	Asparagine	Yes	C4H8N2O3	132.0535	Organic acids	Amino acids and peptides	Amino acids
Glutamine	Glutamine	Yes	C5H10N2O3	146.0691	Organic acids	Amino acids and peptides	Amino acids
L-Aspartic acid	Aspartic acid	Yes	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids
L-Glutamic acid	Glutamic acid	Yes	C5H9NO4	147.0532	Organic acids	Amino acids and peptides	Amino acids
L-Lysine	Lysine	Yes	C6H14N2O2	146.1055	Organic acids	Amino acids and peptides	Amino acids
Pyroglutamic acid	Pyroglutamic acid	Yes	C5H7NO3	129.0426	Organoheterocyclic compounds	Pyrroline carboxylic acids	Pyrroline carboxylic acids
Ornithine	Ornithine	Yes	C5H12N2O2	132.0899	Organic acids	Amino acids and peptides	Amino acids
Beta-Alanine	beta-Alanine	Yes	C3H7NO2	89.0477	Organic acids	Amino acids and peptides	Amino acids
L-Threonine	Threonine	Yes	C4H9NO3	119.0582	Organic acids	Amino acids and peptides	Amino acids
Iminodiacetic acid	Iminodiacetate	Yes	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids
4-Hydroxyproline	cis-4-Hydroxyproline	Yes	C5H9NO3	131.0582	Organic acids	Amino acids and peptides	Amino acids
D-Fructose	Fructose	Yes	C6H12O6	180.0634	Carbohydrates	Monosaccharides	Monosaccharides
D-Mannose	Mannose	Yes	C6H12O6	180.0634	Carbohydrates	Monosaccharides	Monosaccharides
Sorbitol	Sorbitol	Yes	C6H14O6	182.0790	Carbohydrates	Monosaccharides	Sugar alcohols
Ribitol	Ribitol	Yes	C5H12O5	152.0685	Carbohydrates	Monosaccharides	Sugar alcohols
Myoinositol	Myo-inositol	Yes	C6H12O6	180.0634	Organic oxygen compounds	Alcohols and polyols	Inositols
Inositol phosphate	-	No					
Sedoheptulose 7-phosphate	Sedoheptulose 7-phosphate	Yes	C7H15O10P	290.0403	Carbohydrates	Monosaccharides	Monosaccharide phosphates
alpha-D-Glucosamine 1-phosphate	Glucosamine 1-phosphate	Yes	C6H14NO8P	259.0457	Organic oxygen compounds	Organooxygen compounds	Organooxygen compounds
Galactonic acid	Galactonic acid	Yes	C6H12O7	196.0583	Carbohydrates	Monosaccharides	Sugar acids
Cellobiose	Cellobiose	Yes	C12H22O11	342.1162	Carbohydrates	Disaccharides	Disaccharides
L-Sorbose	Sorbose	Yes	C6H12O6	180.0634	Carbohydrates	Monosaccharides	Monosaccharides
D-Threitol	Threitol	Yes	C4H10O4	122.0579	Carbohydrates	Monosaccharides	Sugar alcohols
Threonic acid	Threonic acid	Yes	C4H8O5	136.0372	Carbohydrates	Monosaccharides	Sugar acids
Nonanoic acid	Pelargonic acid	Yes	C9H18O2	158.1307	Fatty Acyls	Fatty acids	Saturated FA
Capric acid	Capric acid	Yes	C10H20O2	172.1463	Fatty Acyls	Fatty acids	Saturated FA
Myristic acid	Myristic acid	Yes	C14H28O2	228.2089	Fatty Acyls	Fatty acids	Saturated FA
Palmitoleic acid	Palmitoleic acid	Yes	C16H30O2	254.2246	Fatty Acyls	Fatty acids	Unsaturated FA
Palmitic acid	Palmitic acid	Yes	C16H32O2	256.2402	Fatty Acyls	Fatty acids	Saturated FA
Linoleic acid	Linoleic acid	Yes	C18H32O2	280.2402	Fatty Acyls	Fatty acids	Unsaturated FA
Oleic acid	Oleic acid	Yes	C18H34O2	282.2559	Fatty Acyls	Fatty acids	Unsaturated FA
Elaidic acid	Elaidic acid	Yes	C18H34O2	282.2559	Fatty Acyls	Fatty acids	Unsaturated FA
Stearic acid	Stearic acid	Yes	C18H36O2	284.2715	Fatty Acyls	Fatty acids	Saturated FA
Arachidic acid	Arachidic acid	Yes	C20H40O2	312.3028	Fatty Acyls	Fatty acids	Saturated FA
Arachidonic Acid	Arachidonic acid	Yes	C20H32O2	304.2402	Fatty Acyls	Fatty acids	Unsaturated FA
Malonic acid	Malonic acid	Yes	C3H4O4	104.0110	Organic acids	Organic dicarboxylic acids	Organic dicarboxylic acids
Unknown acid	-	No					
Heptadecanoic acid	Margaric acid	Yes	C17H34O2	270.2559	Fatty Acyls	Fatty acids	Saturated FA
1-Monomyristin	MG(14:0)	Yes	C17H34O4	302.2457	Glycerolipids	Monoradylglycerols	MAG
2-Monopalmitoylglycerol	-	No					
1-Palmitoylglycerol	MG(16:0/0:0/0:0)	Yes	C19H38O4	330.2770	Glycerolipids	Monoradylglycerols	MAG
2-Steroylglycerol	-	No					
1-Steroylglycerol	-	No					
Glycerol	Glycerol	Yes	C3H8O3	92.0473	Carbohydrates	Monosaccharides	Sugar alcohols
Glycerol 3-phosphate	sn-Glycero-3-phosphate	Yes	C3H9O6P	172.0137	Organic acids	Organic phosphoric acids	Organic phosphoric acids
Beta-Glycerophosphoric acid	sn-Glycero-2-phosphate	Yes	C3H9O6P	172.0137	Organic acids	Phosphate esters	Monoalkyl phosphates
O-Phosphoethanolamine	Phosphoethanolamine	Yes	C2H8NO4P	141.0191	Organic acids	Phosphate esters	Phosphoethanolamines
Ethanolamine	Ethanolamine	Yes	C2H7NO	61.0528	Organic nitrogen compounds	Alkanolamines	1,2-aminoalcohols
Phosphate	Phosphoric acid	Yes	PH3O4	97.9769	Homogeneous non-metal compounds	Non-metal phosphates	Non-metal phosphates
