	log2FoldChange	FDR
YOR221C	-4.033946735	8.319999999999999e-137
YHR043C	-3.108925725	3.859999999999999e-96
YML042W	1.54856075	1.7500000000000001e-56
YLR303W	7.30981239	4.3199999999999996e-51
YPR001W	1.4991630980000001	3.9899999999999995e-44
YPR002W	1.166626882	1.96e-37
YGR234W	-1.388017047	7.259999999999999e-36
YER024W	1.1215401729999999	8.640000000000001e-27
YEL071W	1.056304795	8.09e-25
YBR115C	10.92260844	2.77e-23
YMR018W	1.5020068119999999	6.39e-22
YAR035W	2.108252082	8.2e-20
YCR010C	1.752797544	8.4e-19
YJR095W	-0.877448853	1.61e-17
YER091C	0.973040323	3.81e-14
YLR267W	1.2863999240000001	8.75e-14
YGR087C	0.985950955	1.0300000000000002e-13
YFL029C	0.857643264	3.04e-13
YPL036W	1.042582815	7.26e-13
YNL014W	1.338399987	9.23e-13
YDL227C	-2.489766462	1.1e-12
YKL187C	0.7992806090000001	2.06e-12
YOR180C	0.909877962	3.6200000000000003e-12
YPR006C	1.050012053	1.07e-11
YKR016W	-0.546281765	3.04e-11
YLR266C	0.500133254	1.2200000000000002e-10
YOL101C	-1.2146061959999999	1.26e-10
YHR139C	1.53145734	2.0799999999999998e-10
YER096W	0.9960570390000001	2.4400000000000004e-10
YKL182W	-0.92377547	2.71e-10
YPL231W	-1.022660457	5.58e-10
YOL031C	-0.66378089	1.02e-09
YDR223W	0.734074316	1.4000000000000001e-09
YPR007C	0.746370877	1.54e-09
YDL085W	0.934990008	1.58e-09
YPL265W	0.512229988	2.32e-09
YFR026C	-1.062080764	3.59e-09
YGL205W	1.185849572	3.59e-09
YJR146W	1.125123681	4.35e-09
YEL067C	0.7774125140000001	1.23e-08
YPL250C	0.901729447	1.67e-08
YOR313C	-2.3200578430000003	2.3799999999999998e-08
YPL092W	0.533478781	2.5e-08
YMR042W	0.583035425	2.97e-08
YDR380W	-0.531516655	3.47e-08
YGR157W	-0.760340081	6.71e-08
YFL011W	1.035048221	1.0300000000000001e-07
YJR150C	2.127025041	1.04e-07
YGL009C	-0.648052735	2.3e-07
YBR105C	0.420280896	6.19e-07
YAL062W	0.733370482	7.85e-07
YJL079C	-0.452926156	7.909999999999999e-07
YBR093C	-0.45275848799999996	8.28e-07
YIL107C	0.383611749	8.97e-07
YMR147W	0.56519113	8.97e-07
YGL184C	1.122729802	1.12e-06
YML120C	-0.365782366	1.34e-06
YJL171C	-0.5463734379999999	2.03e-06
YMR095C	0.823642067	2.78e-06
YMR306W	-0.887624368	3.26e-06
YIL123W	-0.838582295	3.7e-06
