	log2FC	FDR
YHR043C	-2.982244881	1.2499999999999996e-116
YOR221C	-3.625477805	6.61e-98
YLR303W	8.664318759	4.6500000000000007e-60
YGL009C	-0.98199786	4.67e-54
YJL102W	-1.082683131	8e-46
YPR194C	-1.220724713	7.659999999999998e-45
YBL015W	-0.991383197	2.2299999999999998e-44
YER001W	-1.199495409	1.22e-40
YFL030W	-1.044371451	3.68e-34
YDR536W	-1.283830992	3.4e-33
YOR375C	-0.9166407040000001	8.189999999999999e-32
YLL053C	-1.717668995	5.92e-28
YBR033W	-0.722402118	4.62e-25
YBR115C	10.63315149	4.1700000000000006e-23
YKL120W	-0.904874649	9.120000000000002e-22
YFL011W	2.180999264	1.63e-21
IRT1	0.78174432	1.8100000000000002e-21
YIL055C	0.967491691	1.7699999999999998e-20
YBR093C	-0.632465017	3.6000000000000003e-20
YOR153W	0.669591835	2.7e-18
YHL028W	-1.8520548559999999	5.13e-18
YCR005C	0.620931434	1.53e-17
YJL103C	-0.6993779529999999	1.68e-15
YBR177C	-0.905679805	1.7e-15
YGR249W	-1.09164768	2.3899999999999998e-15
YIR039C	-0.82644527	3.41e-15
YPR006C	0.695205718	3.9e-15
YOL084W	-1.232176123	7.19e-15
YOR313C	-0.9671330920000001	7.990000000000001e-15
YOR383C	0.805811921	3.44e-14
YMR011W	0.602495646	4.08e-14
YJR149W	-0.732619518	4.59e-14
YOR107W	-1.099255165	5.19e-14
YNL242W	-0.553321489	5.11e-13
YJL157C	-0.582230346	9.2e-13
YDL039C	-0.83153129	5.2899999999999995e-12
YPL014W	-0.768164051	1.05e-11
YMR136W	-1.231071073	1.1099999999999999e-11
YPR117W	-0.41278176299999997	1.1099999999999999e-11
YEL071W	0.548136486	1.6600000000000003e-11
YPR002W	0.68951832	1.72e-11
YJL213W	0.796268602	1.98e-11
YGR087C	1.836567434	2.29e-11
YPR156C	-0.628722303	3.9299999999999996e-11
YML091C	-0.5165845729999999	5.49e-11
YBR047W	0.8628357740000001	1.0500000000000001e-10
YML120C	-0.39130869799999995	2.68e-10
YOR108W	-0.638076231	2.84e-10
YER158C	-0.648412645	5.33e-10
YML087C	-0.5866427	7.689999999999999e-10
YDR218C	1.35675129	1.1699999999999999e-09
YJR095W	-1.284079182	1.3800000000000002e-09
YHR033W	-0.6059679029999999	1.4300000000000002e-09
YAR050W	-0.683158567	1.99e-09
YHR092C	-0.9019188440000001	3.2299999999999994e-09
YPR001W	0.767136004	3.4000000000000003e-09
YGR157W	-0.466987855	3.4799999999999996e-09
YPL223C	1.082737993	6.53e-09
YCR098C	-0.994296354	7.21e-09
YOL122C	-0.450892299	7.21e-09
YGR088W	-1.0500483459999999	7.6e-09
YMR252C	0.719428746	9.26e-09
YDR384C	0.7077822709999999	1.1000000000000001e-08
YPL272C	-0.756326251	1.16e-08
